"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","19","Robin"," Christen ","19.04.1991","23","2.00m","90kg","PF","DEU","LTi Lich","2009-2010","421-gie","14"
"2","24","Jannik"," Freese ","13.08.1986","28","2.11m","111kg","C","DEU","SUM Baskets Braunschweig","2009-2010","421-gie","14"
"3","4","Viktor"," Jacovic ","19.08.1989","24","1.92m","86kg","PG","SCG","KK Masinac Kraljevo (SRB)","2009-2010","421-gie","14"
"4","43","Osvaldo"," Jeanty ","01.08.1983","31","1.83m","92kg","SG","CAN","CS Gaz Metan (ROM)","2009-2010","421-gie","14"
"5","32","Maurice"," Jeffers ","03.04.1979","35","1.94m","89kg","SF","USA","LTi Giessen 46ers","2009-2010","421-gie","14"
"6","7","Kevin"," Johnson ","04.06.1984","30","2.00m","105kg","PF","USA","Polonia Warschau (POL)","2009-2010","421-gie","14"
"7","11","Martin"," Kohlmaier **","30.05.1984","30","2.17m","114kg","C","AUT","* bis 12/2009 im Verein","2009-2010","421-gie","14"
"8","13","Johannes"," Lischka ","02.04.1987","27","2.03m","103kg","SF","DEU","Giessen 46ers","2009-2010","421-gie","14"
"9","15","Elvir"," Ovcina ","16.07.1976","38","2.12m","117kg","C","BIH","Parklji Polzela (SLO)","2009-2010","421-gie","14"
"10","8","Mathias"," Perl ","17.01.1989","25","1.87m","82kg","SG","DEU","BBLZ Mittelhessen","2009-2010","421-gie","14"
"11","21","Chuck"," Reed ","03.10.1983","30","1.91m","88kg","PG","USA","* bis 11/2009 im Verein","2009-2010","421-gie","14"
"12","9","Johannes"," Schläfer ","21.06.1988","26","1.96m","88kg","SF","DEU","BBLZ Mitelhessen","2009-2010","421-gie","14"
"13","50","Bradley"," Strickland **","22.08.1985","28","2.05m","107kg","C","USA","* bis 01/2010 im Verein","2009-2010","421-gie","14"
"14","31","Stevan"," Tapuskovic ","09.01.1989","25","2.00m","95kg","SG","SCG","Partizan Belgrad (SRB)","2009-2010","421-gie","14"
"15","23","David"," Teague **","04.06.1983","31","1.96m","87kg","SG","USA","* bis 03/2010 im Verein","2009-2010","421-gie","14"
"16","12","Falko"," Theilig ","02.03.1992","22","1.81m","75kg","PG","DEU","LTi 46ers Juniors (NBBL)","2009-2010","421-gie","14"
"17","20","Max"," Weber ","23.04.1985","29","2.01m","97kg","SF","DEU","DEUTSCHE BANK SKYLINERS","2009-2010","421-gie","14"
"18","34","Joe"," Werner ","13.02.1984","30","2.00m","116kg","PF","USA","Kilsyth Cobras (AUS)","2009-2010","421-gie","14"
"19","5","Lorenzo"," Williams ","08.11.1984","29","1.88m","86kg","PG","USA","AB Cosmetics Pezinok (SLO)","2009-2010","421-gie","14"
"20","9","John"," Bowler ","04.04.1984","30","2.04m","123kg","C","USA","E.-Michigan-University (USA)","2009-2010","415-bon","4"
"21","8","Moussa"," Diagne ","11.01.1984","30","2.04m","102kg","PF","SEN","Telekom Baskets Bonn","2009-2010","415-bon","4"
"22","15","Ronald"," Dupree ","26.01.1981","33","2.01m","95kg","SF","USA","Utah Flash (USA)","2009-2010","415-bon","4"
"23","5","Chris"," Ensminger ","08.12.1973","40","2.09m","118kg","C","USA","Paderborn Baskets","2009-2010","415-bon","4"
"24","13","Patrick"," Flomo ","19.07.1980","34","2.04m","105kg","C","LBR","Hertener Löwen","2009-2010","415-bon","4"
"25","10","Jared"," Jordan ","14.10.1984","29","1.88m","85kg","PG","USA","Lytuvos Rytas Vilnius (LIT)","2009-2010","415-bon","4"
"26","7","Alex"," King ","20.02.1985","29","2.00m","100kg","SF","DEU","Deutsche Bank SKYLINERS","2009-2010","415-bon","4"
"27","11","Artur"," Kolodziejski ","18.09.1979","34","1.95m","89kg","SG","DEU","Bayer Giants Leverkusen","2009-2010","415-bon","4"
"28","14","Tim"," Ohlbrecht ","30.08.1988","25","2.10m","98kg","C","DEU","Brose Baskets","2009-2010","415-bon","4"
"29","6","Johannes"," Strasser ","13.06.1982","32","1.89m","84kg","PG","DEU","RheinEnergie Köln","2009-2010","415-bon","4"
