"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","5","Reggie"," Bassette ","01.01.1978","36","2.08m","0kg","","XXX","Milwaukee Bucks","2000-2001","421-gie","4"
"2","11","Markus"," Hallgrimson ","01.01.1975","39","1.91m","0kg","","XXX","Montana State University","2000-2001","421-gie","4"
"3","14","David"," Henry ","06.01.1975","39","2.00m","0kg","","XXX","Mitteldeutscher BC","2000-2001","421-gie","4"
"4","8","Adonis"," Jordan ","01.01.1970","44","1.80m","0kg","","XXX","Tapiolan Honka Espoo","2000-2001","421-gie","4"
"5","14","Luka"," Jovanovic ","01.01.1975","39","1.90m","0kg","","XXX","MTV Gießen II","2000-2001","421-gie","4"
"6","6","Martin"," Keane ","01.01.1969","45","2.06m","0kg","","XXX","Estudiantes Olavarria (ARG)","2000-2001","421-gie","4"
"7","15","Lucian"," Kieser ","19.02.1979","35","2.03m","0kg","","XXX","SV Tally Oberelchingen","2000-2001","421-gie","4"
"8","9","Patrick"," King ","02.11.1970","43","1.98m","90kg","SF","XXX","TTL universa Bamberg","2000-2001","421-gie","4"
"9","10","Oleg"," Kojenets ","01.01.1977","37","2.08m","120kg","","XXX","University of Northern Califirnia","2000-2001","421-gie","4"
"10","4","Mike"," Mitchell ","04.04.1967","47","2.02m","0kg","","XXX","Besancon","2000-2001","421-gie","4"
"11","13","Detlef"," Musch ","01.01.1970","44","2.12m","0kg","","XXX","Reggio Calabria","2000-2001","421-gie","4"
"12","13","Michael"," Nachreiner ","16.08.1974","40","2.11m","116kg","","XXX","TV 1860 Lich","2000-2001","421-gie","4"
"13","5","Rodney"," Scruggs ","01.01.1983","31","1.90m","0kg","","XXX","VfL Marburg","2000-2001","421-gie","4"
"14","7","Rick"," Stafford ","01.01.1972","42","1.90m","0kg","","XXX","Brandt Hagen","2000-2001","421-gie","4"
"15","","Joseph"," Whelton ","15.02.1956","58","1.82m","0kg","","XXX","TATAMI Rhöndorf","2000-2001","421-gie","4"
"16","12","Radisa"," Zdravkovic ","01.01.1976","38","1.92m","0kg","","XXX","Oldenburger TB","2000-2001","421-gie","4"
"17","7","Hurl"," Beechum ","02.05.1973","41","1.95m","95kg","SF","XXX","Iowa State University","2000-2001","415-bon","3"
"18","10","Paul"," Burke ","01.01.1972","42","1.88m","0kg","","XXX","Norköpping Dolphins","2000-2001","415-bon","3"
"19","4","Ivo"," Josipovic ","06.02.1975","39","2.04m","105kg","","XXX","BG Koblenz","2000-2001","415-bon","3"
"20","5","Sinisa"," Kelecevic ","01.01.1970","44","2.06m","0kg","","XXX","Opel SKYLINERS","2000-2001","415-bon","3"
"21","14","Branko"," Klepac ","14.09.1979","34","2.06m","97kg","","XXX","TSV Speyer","2000-2001","415-bon","3"
"22","9","MC"," Mazique ","01.01.1975","39","2.06m","110kg","","XXX","KK Zagreb","2000-2001","415-bon","3"
"23","12","Marc"," Miller ","01.01.1976","38","1.84m","0kg","","XXX","Fenerbahce Istanbul","2000-2001","415-bon","3"
"24","8","Raed"," Mostafa ","05.04.1984","30","1.98m","82kg","","XXX","eigene Jugend","2000-2001","415-bon","3"
"25","6","Igor"," Perica ","01.01.1969","45","2.04m","110kg","","XXX","Spor Kulubu Ankara","2000-2001","415-bon","3"
"26","","Klaus"," Perwas ","03.03.1971","43","1.94m","85kg","","XXX","SSV ratiopharm Ulm","2000-2001","415-bon","3"
"27","15","Maurizio"," Pratesi ","02.02.1975","39","1.90m","85kg","","XXX","TSV Bayer 04 Leverkusen","2000-2001","415-bon","3"
"28","","Bruno"," Soce ","00.00.0000","2014","0.00m","0kg","","XXX","","2000-2001","415-bon","3"
"29","13","Jan"," Sprünken ","01.01.1977","37","0.00m","0kg","","XXX","TSV Quakenbrück","2000-2001","415-bon","3"
"30","13","Nils"," Collingro ","26.11.1970","43","2.00m","0kg","","XXX","TuS Lichterfelde","2000-2001","428-mbc","7"
"31","12","Mithat"," Demirel ","00.00.0000","2014","1.80m","0kg","","XXX","ALBA Berlin","2000-2001","428-mbc","7"
"32","5","Chris"," Ensminger ","08.12.1973","40","2.09m","0kg","","XXX","Uni of Valparaiso","2000-2001","428-mbc","7"
"33","10","Ingo"," Freyer ","07.02.1971","43","1.96m","0kg","","XXX","SSV ratiopharm Ulm","2000-2001","428-mbc","7"
"34","9","Alexander"," Frisch ","12.09.1975","38","2.05m","0kg","","XXX","SKYLINERS","2000-2001","428-mbc","7"
"35","8","Clint-Cotis"," Harrison ","23.09.1976","37","1.94m","0kg","","XXX","Haarlem Globetrotters","2000-2001","428-mbc","7"
"36","14","Ivo"," Kresta ","01.01.1980","34","0.00m","0kg","","XXX","Iona College","2000-2001","428-mbc","7"
"37","","Frank"," Menz ","00.00.0000","2014","0.00m","0kg","","XXX","","2000-2001","428-mbc","7"
"38","11","Rade"," Milutinovic ","01.01.1968","46","2.00m","0kg","","XXX","Rogia Atras","2000-2001","428-mbc","7"
"39","14",""," Raikos ","00.00.0000","2014","0.00m","0kg","","XXX","","2000-2001","428-mbc","7"
"40","","Jan"," Rathjen ","00.00.0000","2014","0.00m","0kg","","XXX","","2000-2001","428-mbc","7"
"41","7","Stefan"," Selle ","02.09.1980","33","1.98m","0kg","","XXX","SV Halle","2000-2001","428-mbc","7"
"42","4","Butch"," Tshomba ","01.01.1976","38","1.98m","0kg","","XXX","BC Blue Fox Gent","2000-2001","428-mbc","7"
