"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","6","Mahir"," Agva ","26.06.1996","23","2.06m","108kg","C","GER","FRAPORT SKYLINERS","2018-2019","421-gie","13"
"2","50","David"," Bell ","20.06.1981","38","1.85m","88kg","PG","USA","Andrea Costa Imola (ITA)","2018-2019","421-gie","13"
"3","54","John"," Bryant ","13.06.1987","32","2.11m","127kg","C","GER","AS Monaco (FRA)","2018-2019","421-gie","13"
"4","3","Siyani"," Chambers ","14.12.1993","25","1.83m","77kg","PG","USA","Flyers Wels (AUT)","2018-2019","421-gie","13"
"5","23","Larry"," Gordon ","18.04.1987","32","1.96m","98kg","SF","USA","BK Astana (KAZ)","2018-2019","421-gie","13"
"6","25","Jared"," Jordan ","14.10.1984","34","1.88m","87kg","PG","USA","WALTER Tigers Tübingen","2018-2019","421-gie","13"
"7","4","Bjarne"," Kraushaar ","12.06.1999","20","1.90m","78kg","PG","GER","Licher BasketBären","2018-2019","421-gie","13"
"8","7","Tim"," Köpple *","03.09.2000","18","1.82m","70kg","PG","GER","Elchingen","2018-2019","421-gie","13"
"9","10","Max"," Landis **","02.02.1993","26","1.88m","87kg","PG","USA","*im Kader bis 04-2019","2018-2019","421-gie","13"
"10","13","Benjamin"," Lischka ","21.06.1989","30","2.04m","105kg","PF","GER","Crailsheim Merlins","2018-2019","421-gie","13"
"11","9","Max"," Montana **","11.01.1996","23","2.06m","95kg","SF","GER","*im Kader bis 01-2019","2018-2019","421-gie","13"
"12","12","Leon"," Okpara ","03.02.1998","21","1.95m","90kg","SG","GER","Rheinstars Köln","2018-2019","421-gie","13"
"13","8","Alen"," Pjanic ","05.03.1997","22","1.99m","80kg","SF","GER","MTV Gießen","2018-2019","421-gie","13"
"14","5","Jeril"," Taylor **","13.05.1994","25","1.93m","88kg","SG","USA","*im Kader bis 12-2018","2018-2019","421-gie","13"
"15","33","Brandon"," Thomas ","17.08.1984","34","1.98m","97kg","SF","USA","Regatas Corrientes (ARG)","2018-2019","421-gie","13"
"16","11","Tim"," Uhlemann ","09.04.1999","20","2.03m","105kg","PF","GER","VFB Gießen","2018-2019","421-gie","13"
"17","9","Stefan"," Bircevic ","13.12.1989","29","2.11m","95kg","PF","SRB","Banvit Bandirma (TUR)","2018-2019","415-bon","7"
"18","12","Martin"," Breunig ","18.02.1992","27","2.03m","103kg","PF","GER","MHP RIESEN Ludwigsburg","2018-2019","415-bon","7"
"19","11","Anthony"," DiLeo ","22.06.1990","29","1.90m","92kg","SG","GER","GIESSEN 46ers","2018-2019","415-bon","7"
"20","18","David"," Falkenstein ","25.09.1997","21","1.88m","80kg","PG","GER","Bonner SV Roleber","2018-2019","415-bon","7"
"21","20","Jonas"," Falkenstein *","05.07.2000","19","1.85m","75kg","SG","GER","Telekom Baskets Bonn","2018-2019","415-bon","7"
"22","4","Shane"," Gibson **","05.01.1990","29","1.88m","85kg","SG","USA","*im Kader bis 11-2018","2018-2019","415-bon","7"
"23","6","Olivier"," Hanlan ","15.02.1993","26","1.93m","86kg","SG","CAN","Austin Spurs (USA)","2018-2019","415-bon","7"
"24","10","Charles"," Jackson ","22.05.1993","26","2.08m","108kg","C","USA","Bandirma Kirmizi (TUR)","2018-2019","415-bon","7"
"25","8","Ra'Shad"," James **","26.01.1990","29","1.88m","88kg","SG","USA","*im Kader bis 01-2019","2018-2019","415-bon","7"
"26","16","Julian"," Jasinski ","27.04.1996","23","2.01m","95kg","PF","GER","Phoenix Hagen","2018-2019","415-bon","7"
"27","4","Nate"," Linhart ","14.11.1986","32","2.01m","98kg","SF","USA","Spirou Charleroi (BEL)","2018-2019","415-bon","7"
"28","14","Josh"," Mayo ","15.07.1987","32","1.81m","76kg","PG","USA","Basket Givova Scafati (ITA)","2018-2019","415-bon","7"
"29","19","Bo"," Meister *","27.01.1999","20","2.03m","95kg","SF","GER","BSG Bremerhaven","2018-2019","415-bon","7"
"30","17","Alexander"," Möller ","22.01.1998","21","2.07m","104kg","C","GER","Team Bonn/Rhöndorf","2018-2019","415-bon","7"
"31","13","Yorman"," Polas Bartolo ","08.08.1985","33","1.91m","88kg","SF","GER","GIESSEN 46ers","2018-2019","415-bon","7"
"32","5","Jarelle"," Reischel ","17.05.1992","27","2.00m","97kg","SF","GER","PS Karlsruhe LIONS","2018-2019","415-bon","7"
"33","7","Bojan"," Subotic ","17.12.1990","28","2.03m","102kg","PF","MNE","BC Kalev Tallinn (EST)","2018-2019","415-bon","7"
"34","15","James"," Webb III **","19.08.1993","25","2.06m","95kg","SF","USA","*im Kader bis 04-2019","2018-2019","415-bon","7"
"35","30","Hans"," Brase ","15.09.1993","25","2.06m","104kg","PF","GER","Iowa State University (USA)","2018-2019","428-mbc","15"
"36","6","David"," Brembly ","10.02.1993","26","1.97m","94kg","SF","GER","Eisbären Bremerhaven","2018-2019","428-mbc","15"
"37","5","Tremmell"," Darden ","17.12.1981","37","1.94m","91kg","SG","USA","Telenet Giants Antwerpen (BEL)","2018-2019","428-mbc","15"
"38","2","James"," Farr ","02.11.1992","26","2.08m","112kg","PF","USA","Elan Chalon (FRA)","2018-2019","428-mbc","15"
"39","11","Ferenc"," Gille ","10.08.1998","20","2.03m","94kg","PF","GER","VfL Kalbe/Milde","2018-2019","428-mbc","15"
"40","7","Sergio"," Kerusch ","06.01.1989","30","1.95m","105kg","SF","GER","Eisbären Bremerhaven","2018-2019","428-mbc","15"
"41","31","Aleksandar"," Marelja ","12.06.1992","27","2.07m","96kg","C","SRB","AZS Koszalin (POL)","2018-2019","428-mbc","15"
"42","0","Lee"," Moore ","09.08.1995","23","1.93m","79kg","SG","USA","Germani Basket Brescia (ITA)","2018-2019","428-mbc","15"
"43","9","Jonas"," Niedermanner ","12.12.1996","22","2.03m","88kg","SF","GER","Uni-Riesen Leipzig","2018-2019","428-mbc","15"
"44","20","Jovan"," Novak ","18.11.1994","24","1.88m","85kg","PG","SRB","MKS Dabrowa Gornicza (POL)","2018-2019","428-mbc","15"
