"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","10","Yorman Polas"," Bartolo ","08.08.1985","31","1.92m","88kg","SF","GER","Crailsheim Merlins
","2015-2016","421-gie","9"
"2","17","Suleiman"," Braimoh ","19.10.1989","26","2.03m","104kg","PF","NGR","Hawke’s Bay Hawks (NZL)","2015-2016","421-gie","9"
"3","11","Anthony"," DiLeo ","22.06.1990","26","1.90m","95kg","SG","GER","Temple University (USA)","2015-2016","421-gie","9"
"4","9","Braydon"," Hobbs ","17.05.1989","27","1.96m","84kg","PG","USA","rent4office Nürnberg","2015-2016","421-gie","9"
"5","25","Ekenechukwu"," Ibekwe **","19.07.1985","31","2.06m","94kg","PF","USA","Atenienses de Manatí (PUR)","2015-2016","421-gie","9"
"6","7","Konstantin"," Kovalev ","06.04.1995","21","2.04m","93kg","SF","GER","ALBA BERLIN","2015-2016","421-gie","9"
"7","30","Simon"," Kutzschmar ","30.10.1996","19","1.93m","85kg","PG","GER","MHP Riesen Ludwigsburg","2015-2016","421-gie","9"
"8","13","Benjamin"," Lischka ","21.06.1989","27","2.04m","105kg","PF","GER","Crailsheim Merlins","2015-2016","421-gie","9"
"9","25","Gabriel"," Olaseni ","29.12.1991","24","2.08m","104kg","C","GBR","Brose Baskets","2015-2016","421-gie","9"
"10","","Jan"," Overdick *","19.02.1997","19","2.07m","93kg","PF","GER","TV Hofheim","2015-2016","421-gie","9"
"11","12","Eric"," Palm ","26.05.1987","29","1.88m","85kg","SG","USA","BV Chemnitz 99","2015-2016","421-gie","9"
"12","","Alen"," Pjanic *","05.03.1997","19","1.99m","80kg","SF","GER","MTV Gießen","2015-2016","421-gie","9"
"13","","Maurice"," Pluskota ","30.05.1992","24","2.08m","110kg","PF","GER","Basketball Löwen Braunschweig","2015-2016","421-gie","9"
"14","44","Björn"," Schoo ","30.06.1981","35","2.13m","115kg","C","GER","Kirchheim Knights","2015-2016","421-gie","9"
