"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","12","Skyler"," Bowlin ","13.07.1989","28","1.89m","78kg","PG","USA","Södertälje Kings (SWE)","2016-2017","421-gie","9"
"2","9","Dwayne"," Evans ","24.01.1992","25","2.01m","104kg","PF","USA","Gladiators Trier","2016-2017","421-gie","9"
"3","7","Bazoumana"," Kone ","13.12.1993","23","1.90m","68kg","PG","GER","MHP RIESEN Ludwigsburg","2016-2017","421-gie","9"
"4","30","Simon"," Kutzschmar ","30.10.1996","20","1.93m","85kg","PG","GER","MHP Riesen Ludwigsburg","2016-2017","421-gie","9"
"5","13","Benjamin"," Lischka ","21.06.1989","28","2.04m","105kg","PF","GER","Crailsheim Merlins","2016-2017","421-gie","9"
"6","21","Jahenns"," Manigat ","29.06.1991","26","1.86m","79kg","SG","CAN","Omonia Nikosia (CYP)","2016-2017","421-gie","9"
"7","32","Jeffrey"," Martin ","13.04.1994","23","1.90m","83kg","PG","GER","Licher BasketBären","2016-2017","421-gie","9"
"8","17","Andreas"," Obst ","13.07.1996","21","1.91m","80kg","PG","GER","Brose Baskets","2016-2017","421-gie","9"
"9","31","Alen"," Pjanic ","05.03.1997","20","1.99m","80kg","SF","GER","MTV Gießen","2016-2017","421-gie","9"
"10","23","Maurice"," Pluskota ","30.05.1992","25","2.08m","110kg","PF","GER","Basketball Löwen Braunschweig","2016-2017","421-gie","9"
"11","4","Joshiko"," Saibou ","07.03.1990","27","1.88m","82kg","PG","GER","s.Oliver Baskets","2016-2017","421-gie","9"
"12","11","Thomas"," Scrubb ","26.09.1991","25","1.98m","91kg","SF","CAN","Kataja Basket Joensuu (FIN)","2016-2017","421-gie","9"
"13","5","Justin"," Sears ","03.01.1994","23","2.03m","92kg","PF","USA","Yale Universität (USA)","2016-2017","421-gie","9"
"14","33","Marco"," Völler ","06.01.1989","28","1.99m","108kg","PF","GER","Oettinger Rockets Gotha","2016-2017","421-gie","9"
"15","22","Cameron"," Wells ","23.09.1988","28","1.86m","94kg","PG","USA","WALTER Tigers Tübingen","2016-2017","421-gie","9"
"16","6","Filip"," Barovic ","29.07.1990","27","2.07m","114kg","C","MNE","Lukoil Academic Sofia (BUL)","2016-2017","415-bon","7"
"17","13","Yorman Polas"," Bartolo ","08.08.1985","32","1.92m","88kg","SF","GER","GIESSEN 46ers","2016-2017","415-bon","7"
"18","18","Valentin"," Blass ","17.04.1995","22","1.95m","88kg","SG","GER","Rhöndorfer TV","2016-2017","415-bon","7"
"19","11","Anthony"," DiLeo ","22.06.1990","27","1.90m","95kg","SG","GER","GIESSEN 46ers","2016-2017","415-bon","7"
"20","9","Julian"," Gamble ","15.09.1989","27","2.08m","114kg","C","USA","Basic-FIT Brüssel (BEL)","2016-2017","415-bon","7"
"21","0","Pascal"," Gediga *","18.03.1995","22","1.78m","65kg","PG","GER","Telekom Baskets Bonn","2016-2017","415-bon","7"
"22","0","Anton"," Geretzki *","26.11.1998","18","2.00m","94kg","SF","GER","Rhöndorfer TV","2016-2017","415-bon","7"
"23","15","Kenneth"," Horton ","30.12.1989","27","1.99m","90kg","SF","USA","medi bayreuth","2016-2017","415-bon","7"
"24","5","Konstantin"," Klein ","21.05.1991","26","1.87m","86kg","PG","GER","FRAPORT SKYLINERS","2016-2017","415-bon","7"
"25","19","Yannik"," Kneesch *","29.03.1996","21","2.03m","100kg","PF","GER","BIS Baskets Speyer","2016-2017","415-bon","7"
"26","12","Florian"," Koch ","26.03.1992","25","1.97m","86kg","SF","GER","Team Bonn/Rhöndorf (NBBL)","2016-2017","415-bon","7"
"27","14","Josh "," Mayo ","15.07.1987","30","1.81m","79kg","PG","USA","Basket Givova Scafati (ITA)","2016-2017","415-bon","7"
"28","0","Luca"," Mertz ","03.09.1994","22","1.80m","75kg","PG","GER","Telekom Baskets Bonn","2016-2017","415-bon","7"
"29","0","Thomas"," Michel ","09.02.1995","22","2.00m","90kg","PF","GER","Rhöndorfer TV","2016-2017","415-bon","7"
"30","17","Alexander"," Möller ","22.01.1998","19","2.08m","105kg","C","GER","Team Bonn/Rhöndorf","2016-2017","415-bon","7"
"31","8","Johannes"," Richter ","06.12.1993","23","2.05m","98kg","PF","GER","FRAPORT SKYLINERS","2016-2017","415-bon","7"
"32","10","Jamarr"," Sanders ","02.08.1988","29","1.93m","95kg","SG","USA","Dolomiti Energia Trento (ITA)","2016-2017","415-bon","7"
"33","4","Ojars"," Silins ","20.07.1993","24","2.04m","96kg","SF","LAT","Pallacanestro Reggiana (ITA)","2016-2017","415-bon","7"
"34","0","Bogdan"," Suciu *","19.04.1978","39","0.00m","0kg","SG","GER","","2016-2017","415-bon","7"
"35","7","Ryan"," Thompson ","09.06.1988","29","1.98m","96kg","SF","USA","Media Park Trabzonspor (TUR)","2016-2017","415-bon","7"
"36","0","Anye"," Turner *","06.12.1992","24","2.02m","98kg","PF","USA","Western Washington University (USA)","2016-2017","415-bon","7"
