"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","42","Seamus"," Boxley ","21.09.1982","31","2.00m","99kg","SF","USA","Matrixx Magix Nimwegen (NED)","2007-2008","421-gie","16"
"2","10","Marco"," Buljevic ","26.03.1987","27","1.96m","82kg","PG","DEU","Erdgas Ehingen","2007-2008","421-gie","16"
"3","54","Florian"," Hartenstein ","13.08.1977","37","2.05m","120kg","C","DEU","Uni of Oregon (USA)","2007-2008","421-gie","16"
"4","","Aaron"," Johnson ","09.03.1983","31","2.03m","115kg","C","USA","Aget Imola (ITA)","2007-2008","421-gie","16"
"5","8","Danny"," Lewis ","21.06.1970","44","1.85m","80kg","PG","USA","Aqua Palma Magica (ESP)","2007-2008","421-gie","16"
"6","13","Johannes"," Lischka ","02.04.1987","27","2.03m","96kg","PF","DEU","Giessen 46ers","2007-2008","421-gie","16"
"7","32","Ed"," Nelson ","18.03.1982","32","2.03m","119kg","C","USA","* bis 12/2007 im Verein","2007-2008","421-gie","16"
"8","24","William Warren"," Phillips ","18.03.1979","35","2.08m","110kg","C","FRA","Plus Pujol Lleida (ESP)","2007-2008","421-gie","16"
"9","20","Richard"," Poiger ","22.05.1987","27","2.02m","95kg","PF","AUT","Bayer Giants","2007-2008","421-gie","16"
"10","22","Shawan"," Robinson ","07.09.1983","30","1.87m","82kg","PG","USA","Newcastle Eagles (ENG)","2007-2008","421-gie","16"
"11","33","Rouven"," Roessler ","14.11.1980","33","1.98m","97kg","SF","DEU","BG Karlsruhe","2007-2008","421-gie","16"
"12","23","Corey"," Rouse ","03.02.1984","30","2.03m","88kg","PF","USA","Nürnberg","2007-2008","421-gie","16"
"13","7","Gerrit"," Terdenge ","30.01.1975","39","2.05m","97kg","PF","DEU","Caja Rural Melilla (ESP)","2007-2008","421-gie","16"
"14","12","Obie"," Trotter ","09.02.1984","30","1.86m","75kg","PG","USA","Alabama University (USA)","2007-2008","421-gie","16"
"15","5","Michael"," Umeh ","18.09.1984","29","1.88m","80kg","PG","NGA","University of Nevada (USA)
","2007-2008","421-gie","16"
"16","6","Tory"," Walker ","16.08.1979","35","2.03m","95kg","PF","USA","Braunschweig","2007-2008","421-gie","16"
"17","18","Edward"," Basden ","15.02.1983","31","1.95m","94kg","SF","USA","Cholet Basket (FRA)","2007-2008","415-bon","7"
"18","9","John"," Bowler ","04.04.1984","30","2.04m","115kg","C","USA","East.-Michigan-University (USA)","2007-2008","415-bon","7"
"19","5","Ronald"," Burrell ","21.07.1983","31","2.04m","102kg","PF","USA","RheinEnergie Köln","2007-2008","415-bon","7"
