"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","","Robin"," Amaize ","31.03.1994","20","1.88m","80kg","SG","DEU","MTV 1846 Gießen","2011-2012","421-gie","17"
"2","21","Koko"," Archibong ","10.05.1981","33","2.03m","98kg","PF","USA","BBC Bayreuth","2011-2012","421-gie","17"
"3","16","Javon"," Baumann ","05.11.1992","21","2.02m","105kg","C","DEU","MTV Gießen","2011-2012","421-gie","17"
"4","34","Wayne"," Bernard ","12.09.1981","32","1.90m","87kg","SG","USA","Mitteldeutscher BC","2011-2012","421-gie","17"
"5","","Robin"," Christen ","19.04.1991","23","2.00m","90kg","PF","DEU","TV Lich","2011-2012","421-gie","17"
"6","10","Bozo"," Djurasovic **","07.08.1987","27","2.00m","100kg","SF","BIH","* bis 11/2011 im Verein","2011-2012","421-gie","17"
"7","22","Misan"," Haldin **","07.07.1982","32","1.92m","90kg","PG","DEU"," * bis 02/2012 im Verein","2011-2012","421-gie","17"
"8","20","Maurice"," Jeffers ","03.04.1979","35","1.94m","92kg","SF","USA","CA Lanus Buenos Aires (ARG)","2011-2012","421-gie","17"
"9","31","Taj"," McCullough **","25.08.1986","27","2.01m","104kg","SF","USA"," * bis 02/2012 im Verein","2011-2012","421-gie","17"
"10","19","Albert King"," Nolen ","11.02.1989","25","1.85m","84kg","PG","USA","Los Angeles D-Fenders","2011-2012","421-gie","17"
"11","13","Robert"," Oehle ","22.05.1988","26","2.09m","118kg","C","DEU","Saar-Pfalz Braves","2011-2012","421-gie","17"
"12","5","Elvir"," Ovcina ","16.07.1976","38","2.12m","116kg","C","BIH","Parklji Polzela (SLO)","2011-2012","421-gie","17"
"13","7","Mathias"," Perl ","17.01.1989","25","1.87m","82kg","PG","DEU","Licher BasketBären","2011-2012","421-gie","17"
"14","15","Radenko"," Pilcevic ","15.12.1986","27","1.88m","83kg","PG","SCG","Mitteldeutscher BC","2011-2012","421-gie","17"
"15","9","Chad"," Prewitt ","06.04.1980","34","2.04m","104kg","PF","USA","FC Bayern München","2011-2012","421-gie","17"
"16","","Lukas"," Röll ","21.10.1993","20","0.00m","0kg","PG","DEU","MTV 1846 Gießen","2011-2012","421-gie","17"
"17","4","Barry"," Stewart ","04.02.1988","26","1.93m","77kg","SG","USA","TBB Trier","2011-2012","421-gie","17"
"18","11","Dominic"," Turudic ","12.03.1994","20","2.00m","95kg","C","DEU","MTV 1846 Gießen","2011-2012","421-gie","17"
"19","18","Jonas"," Weiser ","11.02.1993","21","1.79m","71kg","PG","DEU","MTV 1846 Gießen","2011-2012","421-gie","17"
"20","8","Achmadschah"," Zazai ","05.12.1986","27","1.75m","68kg","PG","DEU","s.Oliver Baskets","2011-2012","421-gie","17"
"21","14","Talor"," Battle ","16.09.1988","25","1.83m","78kg","PG","USA","Cholet Basket (FRA)","2011-2012","415-bon","8"
"22","7","Zvonko"," Buljan ","06.02.1987","27","2.06m","105kg","PF","HRV","* bis 04/2012 im Verein","2011-2012","415-bon","8"
"23","5","Chris"," Ensminger ","08.12.1973","40","2.08m","114kg","C","USA","Paderborn Baskets","2011-2012","415-bon","8"
"24","13","Tony"," Gaffney ","14.11.1984","29","2.06m","102kg","PF","USA","Utah Flash (USA)","2011-2012","415-bon","8"
"25","11","Daniel"," Hain ","19.07.1985","29","1.95m","90kg","PG","DEU","EWE Baskets Oldenburg","2011-2012","415-bon","8"
"26","","Marius"," Hupperz ","14.04.1993","21","1.95m","100kg","PF","DEU","Telekom Baskets Bonn","2011-2012","415-bon","8"
"27","30","Andreas"," Japes ","22.02.1988","26","1.83m","75kg","PG","DEU","Telekom Baskets Bonn","2011-2012","415-bon","8"
"28","10","Jared"," Jordan ","14.10.1984","29","1.88m","87kg","PG","USA","VAP Kolossos (GRE)","2011-2012","415-bon","8"
"29","12","Florian"," Koch ","26.03.1992","22","1.97m","86kg","SF","DEU","Team Bonn/Rhöndorf (NBBL)","2011-2012","415-bon","8"
"30","","Kevin"," Koch ","22.09.1992","21","1.82m","0kg","SG","DEU","Telekom Baskets Bonn","2011-2012","415-bon","8"
"31","","Andreas"," Könings ","19.04.1984","30","1.88m","82kg","PG","DEU","Telekom Baskets Bonn","2011-2012","415-bon","8"
"32","8","Andrej"," Mangold ","14.01.1987","27","1.90m","93kg","PG","DEU","Artland Dragons","2011-2012","415-bon","8"
"33","4","Simonas"," Serapinas ","24.02.1982","32","1.97m","98kg","SF","LTU","Cimberio Varese (ITA)","2011-2012","415-bon","8"
"34","9","Fabian"," Thülig ","21.09.1989","24","1.99m","92kg","SF","DEU","Telekom Baskets Bonn","2011-2012","415-bon","8"
"35","","Timo"," Thülig ","07.05.1991","23","1.91m","77kg","SG","DEU","Telekom Baskets Bonn","2011-2012","415-bon","8"
"36","21","Arber"," Tolaj ","10.10.1993","20","1.91m","97kg","SG","DEU","TV 06 Bad Neuenahr","2011-2012","415-bon","8"
"37","6","Benas"," Veikalas ","24.09.1983","30","1.92m","90kg","SG","LTU","BK Prostejov (CZE)","2011-2012","415-bon","8"
"38","","Jan"," Winkelnkemper ","24.10.1988","25","1.90m","80kg","PG","DEU","SG ErftBaskets Euskirchen","2011-2012","415-bon","8"
"39","15","Jonas"," Wohlfarth-Bottermann ","20.02.1990","24","2.08m","100kg","C","DEU","Team Bonn/Rhöndorf (NBBL)","2011-2012","415-bon","8"
"40","","Dennis"," Czepczynski ","14.11.1989","24","1.87m","90kg","PG","DEU","VfB 1900 Gießen","2011-2012","422-bra","7"
"41","14","Stephen"," Dennis ","02.10.1987","26","1.96m","80kg","PG","USA","* bis 04/2012 im Verein","2011-2012","422-bra","7"
"42","19","Lucas"," Gertz ","02.05.1990","24","1.96m","85kg","SG","DEU","SG Braunschweig","2011-2012","422-bra","7"
"43","12","LaMarr"," Greer ","16.05.1976","38","1.96m","95kg","SG","USA","Ironi Nahariya (ISR)","2011-2012","422-bra","7"
"44","8","Branko"," Jorovic ","27.11.1981","32","2.05m","99kg","PF","SCG","Enosi Kavales (GRE)","2011-2012","422-bra","7"
"45","5","Robert"," Kulawick ","01.02.1986","28","1.93m","90kg","SG","DEU","BG Göttingen","2011-2012","422-bra","7"
"46","23","Immanuel"," McElroy ","25.03.1980","34","1.94m","95kg","SF","USA","ALBA BERLIN","2011-2012","422-bra","7"
"47","34","Rich"," Melzer ","08.12.1979","34","2.04m","105kg","PF","USA","Hapoel Holon (ISR)","2011-2012","422-bra","7"
"48","10","Igor"," Milosevic ","14.04.1986","28","1.93m","93kg","PG","SCG","BC Astana","2011-2012","422-bra","7"
"49","6","Nils"," Mittmann ","10.04.1979","35","2.01m","95kg","SF","DEU","EnBW Ludwigsburg","2011-2012","422-bra","7"
"50","16","Howard"," Sant-Roos ","13.02.1991","23","1.98m","76kg","SF","USA","UCC Casalepusterlengo (ITA)","2011-2012","422-bra","7"
"51","9","Nick"," Schneiders ","20.07.1984","30","2.21m","118kg","C","DEU","USC Upstate (USA)","2011-2012","422-bra","7"
"52","17","Dennis"," Schröder ","15.09.1993","20","1.86m","71kg","PG","DEU","SG FT/MTV Braunschweig","2011-2012","422-bra","7"
"53","21","Daniel"," Theis ","04.04.1992","22","2.04m","101kg","C","DEU","Spot Up Medien Baskets Braunschweig","2011-2012","422-bra","7"
"54","4","Michael"," Umeh ","18.09.1984","29","1.88m","89kg","PG","USA","Blancos de Rueda Valladolid (ESP)","2011-2012","422-bra","7"
"55","7","Kyle"," Visser ","19.10.1985","28","2.11m","110kg","C","USA","EnBW Ludwigsburg","2011-2012","422-bra","7"
"56","","Brian"," Wenzel ","27.03.1991","23","1.96m","112kg","PF","DEU","Science City Jena","2011-2012","422-bra","7"
"57","20","Jörn"," Wessels ","19.07.1991","23","2.06m","100kg","SF","DEU","SG FT/MTV Braunschweig","2011-2012","422-bra","7"
"58","4","Nick"," Williams **","16.12.1982","31","1.92m","85kg","SG","USA","* bis 11/2011 im Verein","2011-2012","422-bra","7"
"59","","Tyree"," Chambers **","14.06.1994","20","1.87m","80kg","PG","DEU","BBC Bayreuth","2011-2012","425-bay","13"
"60","16","Sinan Samuel"," Durant ","17.06.1993","21","1.89m","70kg","SG","DEU","BBC Bayreuth","2011-2012","425-bay","13"
"61","12","Danny"," Gibson ","28.01.1984","30","1.80m","81kg","PG","USA","ZZ Leiden (NED)","2011-2012","425-bay","13"
"62","14","Kevin"," Hamilton ","02.05.1984","30","1.92m","82kg","PG","USA","New Yorker Phantoms Braunschweig","2011-2012","425-bay","13"
"63","22","Brandon"," Hunter ","24.11.1980","33","2.01m","126kg","C","USA","BK Ventspils","2011-2012","425-bay","13"
"64","25","Ekenechukwu"," Ibekwe ","19.07.1985","29","2.06m","94kg","PF","USA","Ironi Ashkelon/ISR","2011-2012","425-bay","13"
"65","43","Osvaldo"," Jeanty ","01.08.1983","31","1.83m","81kg","SG","CAN","LTi GIESSEN 46ers","2011-2012","425-bay","13"
"66","8","Stefan"," Schmidt ","12.05.1989","25","2.07m","110kg","C","DEU","Franken Hexer","2011-2012","425-bay","13"
"67","21","Simon"," Schmitz ","17.02.1990","24","1.88m","77kg","PG","DEU","Science City Jena","2011-2012","425-bay","13"
"68","15","Maksym"," Shtein ","07.05.1980","34","2.06m","110kg","C","DEU","Eisbären Bremerhaven","2011-2012","425-bay","13"
"69","10","Tyler"," Smith ","04.09.1986","27","2.01m","89kg","SF","USA","Bornova Belediye (TUR)","2011-2012","425-bay","13"
"70","7","Tom"," Spöler ","14.04.1988","26","2.06m","100kg","SF","DEU","GiroLive-Ballers Osnabrück","2011-2012","425-bay","13"
"71","24","Corey"," Stokes ","24.04.1988","26","1.95m","90kg","SG","USA","Villanova University (USA)","2011-2012","425-bay","13"
"72","35","Rain"," Veideman ","01.10.1991","22","1.93m","95kg","SG","EST","Tartu Ülikool","2011-2012","425-bay","13"
"73","6","Beckham"," Wyrick ","13.12.1983","30","1.98m","101kg","SF","USA","FC Bayern München","2011-2012","425-bay","13"
"74","17","Peter"," Zeis ","13.05.1989","25","1.96m","96kg","PF","DEU","TSV Tröster Breitengüßbach","2011-2012","425-bay","13"
"75","21","Danilo"," Barthel ","24.10.1991","22","2.07m","100kg","PF","DEU","USC Heidelberg","2011-2012","426-fra","9"
"76","25","Jacob"," Burtschi ","21.05.1984","30","2.01m","103kg","SF","USA","CAI Saragossa (ESP)","2011-2012","426-fra","9"
"77","10","Jermareo"," Davidson ","15.11.1984","29","2.08m","104kg","C","USA","Idaho Stampede (USA)","2011-2012","426-fra","9"
"78","13","Fabian"," Franke ","15.08.1988","26","1.98m","96kg","SF","DEU","Bremen Roosters","2011-2012","426-fra","9"
"79","31","Devin"," Gibson ","21.05.1989","25","1.82m","80kg","PG","USA","University of Texas (USA)","2011-2012","426-fra","9"
"80","7","Justin"," Gray ","31.03.1984","30","1.88m","93kg","PG","USA","* bis 04/2012 im Verein","2011-2012","426-fra","9"
"81","5","Johannes"," Herber ","17.01.1983","31","1.97m","95kg","SG","DEU","WALTER Tigers Tübingen","2011-2012","426-fra","9"
"82","16","Amil"," Klisura ","17.07.1989","25","1.94m","82kg","PG","DEU","MTV Kronberg","2011-2012","426-fra","9"
"83","30","Jon"," Leuer **","14.05.1989","25","2.08m","104kg","PF","USA","* bis 11/2011 im Verein","2011-2012","426-fra","9"
"84","20","Jimmy"," McKinney ","02.08.1983","31","1.92m","90kg","SG","USA","Missouri Tigers Uni. (USA)","2011-2012","426-fra","9"
"85","","Benedikt"," Nicolay ","22.02.1991","23","1.90m","75kg","SF","DEU","Eintracht Frankfurt","2011-2012","426-fra","9"
"86","14","Marius"," Nolte ","21.01.1981","33","2.06m","100kg","C","DEU","Paderborn Baskets","2011-2012","426-fra","9"
"87","","Jan"," Novak ","11.04.1992","22","1.94m","80kg","PF","DEU","Eintracht Frankfurt","2011-2012","426-fra","9"
"88","24","Tim"," Ohlbrecht ","30.08.1988","25","2.10m","98kg","C","DEU","Telekom Baskets Bonn","2011-2012","426-fra","9"
"89","8","Tim "," Oldenburg ","16.06.1992","22","2.02m","90kg","PF","DEU","Gymnasion Oberursel","2011-2012","426-fra","9"
"90","23","Quantez"," Robertson ","16.12.1984","29","1.88m","93kg","SG","USA","Auburn Tigers (USA)","2011-2012","426-fra","9"
"91","12","Falko"," Theilig ","02.03.1992","22","1.80m","75kg","PG","DEU","TV Lich","2011-2012","426-fra","9"
"92","4","Michael"," Thompson ","09.02.1989","25","1.77m","86kg","PG","USA","Northwestern University (USA)","2011-2012","426-fra","9"
"93","12","Robin"," Benzing ","25.01.1989","25","2.08m","101kg","SF","DEU","ratiopharm ulm","2011-2012","486-fcb","5"
"94","44","Ruben"," Boumtje Boumtje **","20.05.1978","36","2.12m","115kg","C","CMR","* bis11/2011 im Verein","2011-2012","486-fcb","5"
"95","","Alassane"," Dioubaté ","18.05.1994","20","1.94m","80kg","SG","DEU","Köln 99ers","2011-2012","486-fcb","5"
"96","10","Bastian"," Doreth ","08.06.1989","25","1.82m","83kg","SG","DEU","Brose Baskets","2011-2012","486-fcb","5"
"97","13","Je'Kel"," Foster ","22.07.1983","31","1.91m","102kg","SG","USA","Vanoli Cremona (ITA)","2011-2012","486-fcb","5"
"98","24","Demond"," Greene ","15.06.1979","35","1.85m","95kg","SG","DEU","Olympia Larissa (GRE)","2011-2012","486-fcb","5"
"99","11","Darius"," Hall ","16.03.1973","41","2.02m","125kg","C","USA","Artland Dragons","2011-2012","486-fcb","5"
"100","6","Steffen"," Hamann ","14.06.1981","33","1.94m","90kg","PG","DEU","ALBA BERLIN","2011-2012","486-fcb","5"
"101","23","Ben"," Hansbrough **","23.12.1987","26","1.90m","90kg","PG","USA","* bis 12/2011 im Verein","2011-2012","486-fcb","5"
"102","51","Jared"," Homan ","06.03.1983","31","2.08m","110kg","C","USA","Virtus Bologna (ITA)","2011-2012","486-fcb","5"
"103","45","Jan-Hendrik"," Jagla ","25.06.1981","33","2.13m","105kg","PF","DEU","Türk Telekom Ankara (TUR)","2011-2012","486-fcb","5"
"104","8","Aleksandar"," Nadjfeji ","27.10.1976","37","2.02m","104kg","PF","SCG","WALTER Tigers Tübingen","2011-2012","486-fcb","5"
"105","15","Bogdan"," Radosavljevic ","11.07.1993","21","2.13m","105kg","C","DEU","Team ALBA Urspring (NBBL)","2011-2012","486-fcb","5"
"106","7","Philipp"," Schwethelm ","01.05.1989","25","2.01m","94kg","SF","DEU","Eisbären Bremerhaven","2011-2012","486-fcb","5"
"107","5","Chevon"," Troutman ","25.11.1981","32","2.02m","105kg","PF","USA","Sidigas Avellino (ITA)","2011-2012","486-fcb","5"
"108","4","Jonathan"," Wallace ","16.05.1986","28","1.87m","85kg","PG","USA","Rio Grande Valley (USA)","2011-2012","486-fcb","5"
"109","7","Besnik"," Bekteshi ","16.01.1993","21","1.87m","79kg","PG","DEU","BBA Ludwigsburg (NBBL)","2011-2012","433-lud","16"
"110","42","John"," Bowler ","04.04.1984","30","2.04m","118kg","C","USA","Telekom Baskets Bonn","2011-2012","433-lud","16"
"111","34","Mark"," Dorris ","27.12.1985","28","1.88m","77kg","PG","USA","Phoenix Hagen","2011-2012","433-lud","16"
"112","22","Anthony"," Fisher ","31.01.1986","28","1.91m","87kg","PG","USA","AZS AWF Kattowitz (POL)","2011-2012","433-lud","16"
"113","5","Jerry"," Green ","12.02.1980","34","1.91m","90kg","PG","USA","NGC Cantu (ITA)","2011-2012","433-lud","16"
"114","25","Jeff"," Greer ","30.11.1979","34","1.96m","90kg","SF","USA","BCM Gravelines (FRA)","2011-2012","433-lud","16"
"115","12","Nedim"," Hadzovic ","20.12.1990","23","2.05m","105kg","C","DEU","BBA Ludwigsburg (NBBL)","2011-2012","433-lud","16"
"116","20","Alex"," Harris ","30.01.1986","28","1.96m","91kg","SG","USA","Energa Czarni Slupsk (POL)","2011-2012","433-lud","16"
"117","10","Terrel"," Harris **","10.08.1987","27","1.95m","86kg","SF","USA","* bis 10/2011 im Verein","2011-2012","433-lud","16"
"118","54","Matt"," Howard ","23.01.1989","25","2.00m","102kg","PF","USA","Olympiakos Piräus
Butler University","2011-2012","433-lud","16"
"119","42","Ermin"," Jazvin ","12.03.1980","34","2.09m","125kg","C","BIH","HKK Zrinjski HT Mostar (BIH)","2011-2012","433-lud","16"
"120","11","Tim"," Koch ","01.02.1989","25","1.96m","90kg","SF","DEU","BSG Ludwigsburg","2011-2012","433-lud","16"
"121","15","Justin"," Konietzke ","17.10.1993","20","2.00m","94kg","C","DEU","BBA Ludwigsburg (NBBL)","2011-2012","433-lud","16"
"122","13","Johannes"," Lischka ","02.04.1987","27","2.03m","106kg","SF","DEU","LTi GIESSEN 46ers","2011-2012","433-lud","16"
"123","19","Kurt"," Looby ","14.02.1984","30","2.08m","112kg","C","USA","Peristeri Athen (GRE)","2011-2012","433-lud","16"
"124","9","Jonathan"," Maier ","09.12.1992","21","2.10m","100kg","SF","DEU","BBA Ludwigsburg (NBBL)","2011-2012","433-lud","16"
"125","8","David"," McCray ","06.11.1986","27","1.87m","85kg","PG","DEU","BG Karlsruhe","2011-2012","433-lud","16"
"126","6","Jurek"," Olden ","07.01.1994","20","2.02m","95kg","C","DEU","BBA Ludwigsburg (NBBL)","2011-2012","433-lud","16"
"127","14","Donatas"," Zavackas ","23.04.1980","34","2.03m","102kg","PF","LTU","Lietuvos Rytas (LTU)","2011-2012","433-lud","16"
"128","5","Dominik"," Bahiense de Mello ","15.02.1985","29","1.90m","94kg","SG","DEU","DEUTSCHA BANK SKYLINERS","2011-2012","430-old","10"
"129","4","Bobby"," Brown ","24.09.1984","29","1.88m","80kg","PG","USA","Aris Saloniki (GRE)","2011-2012","430-old","10"
"130","30","Ronald"," Burrell ","21.07.1983","31","2.04m","102kg","PF","USA","Asseco Prokom Gdynia","2011-2012","430-old","10"
"131","11","Adam"," Chubb ","05.07.1981","33","2.08m","115kg","C","USA","CAI Saragossa (ESP)","2011-2012","430-old","10"
"132","24","Jannik"," Freese ","13.08.1986","28","2.11m","112kg","C","DEU","LTi GIESSEN 46ers","2011-2012","430-old","10"
"133","18","Anselm"," Hartmann ","12.02.1993","21","1.91m","87kg","PG","DEU","Tus Jena","2011-2012","430-old","10"
"134","41","Kenny"," Hasbrouck ","14.08.1986","28","1.91m","90kg","SG","USA","Meridiano Alicante (ESP)","2011-2012","430-old","10"
"135","40","Frederik Lothar"," Jörg ","11.08.1992","22","2.13m","135kg","C","DEU","SC Bayer 05 Uerdingen","2011-2012","430-old","10"
"136","10","Milan"," Majstorovic ","28.01.1983","31","2.07m","105kg","PF","SCG","Assignia Manresa (ESP)","2011-2012","430-old","10"
"137","23","Rickey"," Paulding ","23.10.1982","31","1.96m","100kg","SF","USA","Gravelines Dunkerque (FRA)","2011-2012","430-old","10"
"138","9","Christopher"," Razis ","07.07.1989","25","1.93m","85kg","SF","DEU","ENAD (CYP)","2011-2012","430-old","10"
"139","22","Sead"," Sehovic ","22.08.1989","24","1.99m","95kg","SG","SCG","BC Buducnost Podgorica (SCG)","2011-2012","430-old","10"
"140","12","Robin"," Smeulders ","19.06.1987","27","2.08m","106kg","C","DEU","Portland (USA)","2011-2012","430-old","10"
"141","20","Kevin"," Smit ","06.04.1991","23","1.83m","70kg","PG","DEU","Junior Baskets Oldenburg","2011-2012","430-old","10"
"142","19","Charles"," Strowbridge ","19.02.1988","26","1.80m","85kg","PG","USA","Rio Grande Valley Vipers (D-League)","2011-2012","430-old","10"
"143","","Alexander"," Witte ","03.04.1990","24","2.06m","120kg","C","DEU","Oldenburger TB","2011-2012","430-old","10"
"144","","Stefan"," Dinkel ","09.02.1989","25","1.85m","83kg","SG","DEU","Dawson College (USA)","2011-2012","420-bam","1"
"145","","Jörg"," Dippold ","27.09.1992","21","1.95m","87kg","SG","DEU","TTL Bamberg","2011-2012","420-bam","1"
"146","","Alexander"," Engel ","27.09.1993","20","1.87m","80kg","PG","DEU","Franken Hexer","2011-2012","420-bam","1"
"147","25","Anton"," Gavel ","24.10.1984","29","1.89m","87kg","PG","SVK","Aris Saloniki (GRE)","2011-2012","420-bam","1"
"148","","John"," Goldsberry ","19.10.1982","31","1.91m","83kg","PG","USA","Artland Dragons","2011-2012","420-bam","1"
"149","23","Casey"," Jacobsen ","19.03.1981","33","1.98m","97kg","SG","USA","ALBA BERLIN","2011-2012","420-bam","1"
"150","11","Julius"," Jenkins ","10.02.1981","33","1.87m","81kg","SG","USA","ALBA BERLIN","2011-2012","420-bam","1"
"151","","Tobias"," Korndoerfer ","18.04.1990","24","2.02m","75kg","SF","DEU","Ehingen/Urspringschule","2011-2012","420-bam","1"
"152","","Daniel"," Leithner ","12.01.1991","23","2.00m","85kg","SG","DEU","TSV Breitengüßbach","2011-2012","420-bam","1"
"153","33","Steven"," Monse ","26.01.1990","24","1.98m","92kg","PF","DEU","Bayer Giants Leverkusen","2011-2012","420-bam","1"
"154","14","Philipp"," Neumann ","20.02.1992","22","2.09m","112kg","C","DEU","TSV Breitengüßbach","2011-2012","420-bam","1"
"155","21","Tibor"," Pleiß ","02.11.1989","24","2.15m","122kg","C","DEU","Köln 99ers","2011-2012","420-bam","1"
"156","10","Johannes"," Richter ","06.12.1993","20","2.05m","98kg","C","DEU","TTV Neustadt/Aisch","2011-2012","420-bam","1"
"157","22","Brian"," Roberts ","03.12.1985","28","1.88m","80kg","PG","USA","Galil Gilboa (ISR)","2011-2012","420-bam","1"
"158","12","Daniel"," Schmidt ","16.08.1990","24","1.86m","85kg","PG","DEU","TSV Tröster Breitengüßbach","2011-2012","420-bam","1"
"159","44","Marcus"," Slaughter ","18.03.1985","29","2.04m","104kg","PF","USA","Real Valladolid (ESP)","2011-2012","420-bam","1"
"160","13","Maurice"," Stuckey ","30.05.1990","24","1.87m","88kg","PG","DEU","Erdgas Ehingen/Urspringschule","2011-2012","420-bam","1"
