"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","8",""," Adamou ","07.08.1982","32","1.95m","92kg","","XXX","Avtodor Saratov (RUS)","2003-2004","421-gie","15"
"2","","Armin"," Andres ","01.01.2003","11","0.00m","0kg","","DEU","Brandt Hagen","2003-2004","421-gie","15"
"3","16","Waldemar"," Buchmiller ","13.06.1980","34","1.93m","82kg","","DEU","SG Braunschweig","2003-2004","421-gie","15"
"4","13","Dominic"," Cannon ","24.06.1983","31","1.90m","87kg","","DEU","TV Lich","2003-2004","421-gie","15"
"5","7","Sterling"," Davis ","27.10.1977","36","2.00m","100kg","","XXX","London Towers (ENG)","2003-2004","421-gie","15"
"6","","Daniel"," Doerr ","31.03.1983","31","2.02m","98kg","","DEU","TV Lich","2003-2004","421-gie","15"
"7","6","Dan"," Earl ","10.12.1974","39","1.92m","88kg","","XXX","Gipsar Stal Ostrow (POL)","2003-2004","421-gie","15"
"8","7","David"," Graves ","03.07.1979","35","1.97m","95kg","","XXX","* bis 11/03 im Verein","2003-2004","421-gie","15"
"9","9","Logi"," Gunnarsson ","05.09.1981","32","1.90m","87kg","","XXX","SSV ratiopharm Ulm","2003-2004","421-gie","15"
"10","14","Florian"," Hartenstein ","13.08.1977","37","2.05m","120kg","","DEU","Uni of Oregon (USA)","2003-2004","421-gie","15"
"11","5","Wilbur"," Johnson ","15.09.1974","39","2.06m","108kg","","XXX","Brighton Bears (ENG)","2003-2004","421-gie","15"
"12","","Viktor"," Klassen ","27.03.1981","33","1.86m","81kg","","DEU","TV Lich","2003-2004","421-gie","15"
"13","","Martin"," Köhler ","21.02.1983","31","2.00m","103kg","","DEU","MTV Gießen","2003-2004","421-gie","15"
"14","","Thorsten"," Leibenath ","07.04.1975","39","1.90m","80kg","","DEU","TV Lich","2003-2004","421-gie","15"
"15","17","Brian"," Lynch ","12.06.1978","36","1.98m","95kg","","XXX","Racing Basket Paris (FRA)","2003-2004","421-gie","15"
"16","11","Jason"," Maile ","24.01.1974","40","1.92m","88kg","","XXX","Harrisburg Horizon (USA)","2003-2004","421-gie","15"
"17","4","Mike"," Mitchell ","04.04.1967","47","2.02m","103kg","","XXX","Besancon","2003-2004","421-gie","15"
"18","10","James"," Shields ","14.05.1970","44","2.08m","107kg","","DEU","TBB Trier","2003-2004","421-gie","15"
"19","6","Sebastian"," Szymanski ","24.01.1975","39","1.86m","82kg","","DEU","bis 01/2004 im Verein","2003-2004","421-gie","15"
"20","15","Gerrit"," Terdenge ","30.01.1975","39","2.05m","97kg","","DEU","Caja Rural Melilla (ESP)","2003-2004","421-gie","15"
"21","12","John"," Thomas ","10.11.1976","37","1.77m","0kg","","XXX","Adir. Wildcats (USBL)","2003-2004","421-gie","15"
"22","","Markus"," Wedler ","27.04.1976","38","1.93m","95kg","","DEU","TV Lich","2003-2004","421-gie","15"
"23","10","Aleksandar"," Capin ","06.10.1982","31","1.86m","78kg","","XXX","KrKa Novo Mesto (SLO)","2003-2004","415-bon","3"
"24","4","Carlton"," Carter ","02.04.1980","34","2.07m","105kg","","XXX","* bis 01/2004 im Verein","2003-2004","415-bon","3"
"25","4","Djordje"," Djogo ","22.12.1976","37","2.05m","105kg","","XXX","KK Hemofarm Vrsac (JUG)","2003-2004","415-bon","3"
"26","11","Peter"," Huber-Saffer ","11.11.1980","33","2.08m","98kg","","DEU","SER Rhöndorf","2003-2004","415-bon","3"
"27","9","Altron"," Jackson ","02.02.1980","34","1.98m","90kg","","XXX","Klima-Vill Kaposvar (UNG)","2003-2004","415-bon","3"
"28","13","Rimantas"," Kaukenas ","11.04.1977","37","1.93m","86kg","","XXX","Telindus Oostende (BEL)","2003-2004","415-bon","3"
"29","14","Branko"," Klepac ","14.09.1979","34","2.06m","97kg","","DEU","TSV Speyer","2003-2004","415-bon","3"
"30","","Predrag"," Krunic ","01.01.1967","47","1.81m","0kg","","XXX","","2003-2004","415-bon","3"
"31","5","Loukas"," Lazoukits ","01.08.1982","32","1.90m","86kg","","XXX","Iraklio Crete (GRE)","2003-2004","415-bon","3"
"32","","Greg"," Miller ","08.10.1977","36","1.93m","98kg","","XXX","Etendard Brest (FRA)","2003-2004","415-bon","3"
"33","15","Miladin"," Mutavdzic ","23.10.1972","41","2.10m","115kg","","XXX","Mabo Livorno (ITA)","2003-2004","415-bon","3"
"34","6","Aleksandar"," Nadjfeji ","27.10.1976","37","2.02m","104kg","","XXX","KK Radnicki Belgrad (JUG)","2003-2004","415-bon","3"
"35","7","Oluoma"," Nnamaka ","14.09.1978","35","2.00m","100kg","","XXX","Marquette University (USA)","2003-2004","415-bon","3"
"36","8","Sanjin"," Vidovic ","12.06.1972","42","1.86m","83kg","","XXX","SG Sechtem","2003-2004","415-bon","3"
"37","12","Wendell"," Alexis ","31.07.1964","50","2.04m","99kg","","XXX","Levallois","2003-2004","428-mbc","12"
"38","4","Paul"," Bayer ","08.04.1970","44","1.92m","90kg","","XXX","* bis 01/2004","2003-2004","428-mbc","12"
"39","6","Paul"," Burke ","02.08.1972","42","1.88m","87kg","","XXX","Luc Alicante (ESP)","2003-2004","428-mbc","12"
"40","","Dirk"," Dittrich ","12.03.1977","37","1.98m","95kg","","DEU","Kent State University","2003-2004","428-mbc","12"
"41","8","Jonas"," Elvikis ","09.07.1982","32","1.95m","89kg","","XXX","Silute (LIT) ","2003-2004","428-mbc","12"
"42","13","Peter"," Fehse ","18.05.1983","31","2.11m","0kg","","DEU","Benetton Treviso","2003-2004","428-mbc","12"
"43","11","Michael"," Krikemans ","20.08.1983","30","1.99m","91kg","","XXX","Basket Antwerpen (BEL) ","2003-2004","428-mbc","12"
"44","","Olaf"," Lange ","30.03.1972","42","0.00m","0kg","","DEU","DBB","2003-2004","428-mbc","12"
"45","9","Chauncey"," Leslie ","06.07.1981","33","1.83m","78kg","","XXX","Fürstenfeld Panthers (AUT)","2003-2004","428-mbc","12"
"46","7","Sebastian"," Machowski ","18.01.1972","42","2.00m","96kg","","DEU","Bayer Giants Leverkusen","2003-2004","428-mbc","12"
"47","4","Manuhar"," Markoishvili ","17.11.1986","27","1.96m","93kg","","XXX","Benetton Treviso (ITA)","2003-2004","428-mbc","12"
"48","5","Misan"," Nikagbatse ","07.07.1982","32","1.95m","80kg","","DEU","Olympiakos Piräus (GRE)","2003-2004","428-mbc","12"
"49","15","Marius"," Petravicius ","24.01.1979","35","2.07m","106kg","","XXX","Fighting Gamecocks (USA)","2003-2004","428-mbc","12"
"50","14","Martin"," Ringström ","18.03.1981","33","2.00m","99kg","","XXX","Solna Vikings (SWE) ","2003-2004","428-mbc","12"
"51","","Clemens"," Beier ","13.02.1983","31","2.06m","100kg","","DEU","eiene Jugend","2003-2004","422-bra","11"
"52","15","Joakim"," Blom ","16.03.1976","38","2.11m","104kg","","XXX","ASVEL Villeurbanne (FRA)","2003-2004","422-bra","11"
"53","","Henrik"," Dettmann ","01.01.1958","56","1.85m","84kg","","XXX","DBB","2003-2004","422-bra","11"
"54","5","Fahrudin"," Djulovic ","14.04.1982","32","2.00m","90kg","","XXX","SG Braunschweig","2003-2004","422-bra","11"
"55","9","Gordan"," Firic ","01.09.1970","43","1.96m","92kg","","XXX","Asvel Villeurbanne (FRA)","2003-2004","422-bra","11"
"56","","Maximilian"," Hausdorf ","30.08.1984","29","2.05m","95kg","","DEU","eigene Jugend","2003-2004","422-bra","11"
"57","","Jakob"," Klimek ","04.09.1985","28","2.02m","92kg","","DEU","eigene Jugend","2003-2004","422-bra","11"
"58","8","Markku"," Larkio ","04.09.1972","41","2.03m","99kg","","XXX","Bayer 04 Lev","2003-2004","422-bra","11"
"59","4","Jan"," Lipke ","24.07.1983","31","1.92m","89kg","","DEU","Oldenburger TB","2003-2004","422-bra","11"
"60","6","Pete"," Lisicky ","03.03.1976","38","1.90m","85kg","","XXX","Penn State University (USA)","2003-2004","422-bra","11"
"61","12","Benjamin"," Lotze ","14.03.1982","32","1.85m","80kg","","DEU","eigene Jugend","2003-2004","422-bra","11"
"62","7","Demond"," Mallet ","22.02.1978","36","1.85m","81kg","","XXX","McNeese State (NCAA)","2003-2004","422-bra","11"
"63","","Lorenz"," Manthey ","29.03.1983","31","1.95m","94kg","","DEU","BCJ Hamburg","2003-2004","422-bra","11"
"64","10","Mike"," Mardesich ","29.07.1977","37","2.12m","120kg","","XXX","SIG Straßburg (FRA)","2003-2004","422-bra","11"
"65","","Nicolas"," Meier ","16.07.1982","32","1.92m","88kg","","DEU","eigene Jugend","2003-2004","422-bra","11"
"66","14","Byron"," Mouton ","29.04.1978","36","1.98m","94kg","","XXX","Idaho Stampede (USA)","2003-2004","422-bra","11"
"67","11","Dirk"," Mädrich ","16.07.1983","31","2.10m","110kg","","DEU","BG Dorsten","2003-2004","422-bra","11"
"68","","Leo"," Niebuhr ","04.08.1986","28","2.01m","90kg","","DEU","Ebstorf","2003-2004","422-bra","11"
"69","13","Mikko"," Noopila ","03.06.1977","37","2.04m","102kg","","XXX","New Mexico State University","2003-2004","422-bra","11"
"70","","Ken"," Scalabroni ","02.09.1956","57","1.86m","0kg","","XXX","Fribourg (SWI)","2003-2004","422-bra","11"
"71","","Flavio"," Stückemann ","03.04.1985","29","1.90m","80kg","","DEU","TuS Bramsche","2003-2004","422-bra","11"
"72","14","Brian"," Wethers ","17.12.1980","33","1.97m","93kg","","XXX","* bis 11/2003 im Verein","2003-2004","422-bra","11"
"73","12","Zelimir"," Zagorac ","01.01.1981","33","2.04m","97kg","","XXX","Union Ljubljana (SLO)","2003-2004","422-bra","11"
"74","15","Malick"," Badiane ","01.11.1984","29","2.11m","106kg","","XXX","TV Langen","2003-2004","426-fra","2"
"75","19","Sebastian"," Barth ","31.01.1985","29","1.93m","90kg","","DEU","TV Langen","2003-2004","426-fra","2"
"76","","Daphne"," Bouzikou ","21.09.1969","44","1.73m","0kg","","DEU","TATAMI Rhöndorf","2003-2004","426-fra","2"
"77","9","Ibrahim"," Diarra ","12.11.1973","40","1.95m","98kg","","XXX","Sodertalje Kings (SWE)","2003-2004","426-fra","2"
"78","5","Tyrone"," Ellis ","06.10.1977","36","1.94m","86kg","","XXX","Casademont Girona (ESP)","2003-2004","426-fra","2"
"79","8","Robert"," Garrett ","18.03.1977","37","1.92m","96kg","SF","DEU","s.Oliver Würzburg","2003-2004","426-fra","2"
"80","","Dominik"," Hennen ","07.08.1981","33","2.01m","100kg","","DEU","TV Langen","2003-2004","426-fra","2"
"81","","Gordon"," Herbert ","16.02.1959","55","1.90m","0kg","","XXX","s.Oliver Würzburg","2003-2004","426-fra","2"
"82","","Nikita"," Kartchenkov ","12.01.1987","27","2.01m","98kg","","DEU","TV Langen","2003-2004","426-fra","2"
"83","6","Mario"," Kasun ","05.04.1980","34","2.13m","114kg","","XXX","KK Zrinjevac Zagreb","2003-2004","426-fra","2"
"84","14","Alex"," King ","20.02.1985","29","2.00m","100kg","SF","DEU","MTSV Schwabing","2003-2004","426-fra","2"
"85","16","Fredrick"," Kleemichen ","26.08.1986","27","2.07m","105kg","","DEU","MTV Kronberg","2003-2004","426-fra","2"
"86","7","Bernd"," Kruel ","01.06.1976","38","2.09m","103kg","","DEU","Brandt Hagen","2003-2004","426-fra","2"
"87","13","Robert"," Maras ","20.10.1978","35","2.15m","119kg","","DEU","ALBA Berlin","2003-2004","426-fra","2"
"88","10","Jukka"," Matinen ","06.11.1978","35","2.03m","100kg","","XXX","Honka Espoo","2003-2004","426-fra","2"
"89","11","Pascal"," Roller ","20.11.1976","37","1.80m","72kg","","DEU","USC Freiburg","2003-2004","426-fra","2"
"90","","Patrick"," Taubert ","27.01.1987","27","1.97m","92kg","","DEU","MTV Kronberg ","2003-2004","426-fra","2"
"91","4","Raphael"," Török ","19.08.1982","31","1.97m","88kg","","DEU","Hapoel Haifa (ISR)","2003-2004","426-fra","2"
"92","12","Christopher"," Williams ","09.07.1980","34","2.01m","108kg","","XXX","Sidney Kings Star (AUS)","2003-2004","426-fra","2"
"93","7","Mirko"," Anastasov ","03.11.1984","29","2.06m","100kg","","DEU","eigene Jugend","2003-2004","433-lud","14"
"94","4","Jermaine"," Dearman ","17.12.1980","33","2.03m","100kg","","XXX","Southern Illinois Uni (NCAA) ","2003-2004","433-lud","14"
"95","12","Ervin"," Dragsic ","22.10.1974","39","1.83m","79kg","","XXX","Avitos Gießen","2003-2004","433-lud","14"
"96","","Michas"," Georgios ","05.06.1984","30","1.85m","80kg","","DEU","BSG Ludwigsburg ","2003-2004","433-lud","14"
"97","","Kosta"," Karamatsos ","14.01.1986","28","1.95m","90kg","","DEU","BSG Ludwigsburg ","2003-2004","433-lud","14"
"98","7","Sebastian"," Kling ","21.12.1984","29","1.92m","83kg","","DEU","BSG Ludwigsburg","2003-2004","433-lud","14"
"99","6","Andy"," Kwiatkowski ","17.01.1979","35","2.02m","99kg","","XXX","OPEL SKYLINERS","2003-2004","433-lud","14"
"100","","Alexander"," Kühl ","07.01.1973","41","2.15m","130kg","","DEU","Stuttgart-Ludwigsburg","2003-2004","433-lud","14"
"101","8","Stipe"," Modric ","08.05.1979","35","2.04m","100kg","","XXX","Olympia Ljubliana (SLO) ","2003-2004","433-lud","14"
"102","10","Vedran"," Morovic ","01.07.1983","31","1.83m","78kg","","XXX","College (USA)","2003-2004","433-lud","14"
"103","14","Tim"," Nees ","30.10.1971","42","2.09m","115kg","","DEU","Elan Chalon (FRA)","2003-2004","433-lud","14"
