"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","10","Christopher"," Anrin ","10.11.1980","33","2.00m","99kg","SF","XXX","Providence Friars (NCAA)","2004-2005","421-gie","6"
"2","12","Alexander"," Atoberhan ","02.06.1985","29","1.85m","78kg","","DEU","MTV 1846 Gießen","2004-2005","421-gie","6"
"3","7","Louis"," Campbell ","01.04.1979","35","1.90m","85kg","","XXX","Paderborn Baskets","2004-2005","421-gie","6"
"4","13","Dominic"," Cannon ","24.06.1983","31","1.90m","87kg","","DEU","* bis 02/2005 im Verein","2004-2005","421-gie","6"
"5","31","Chuck"," Eidson ","10.10.1980","33","2.00m","96kg","SF","XXX","Charleston Lowgators (USA)","2004-2005","421-gie","6"
"6","5","Anton"," Gavel ","24.10.1984","29","1.89m","87kg","","XXX","BG ICELINE Karlsruhe","2004-2005","421-gie","6"
"7","9","Logi"," Gunnarsson ","05.09.1981","32","1.90m","87kg","","XXX","SSV ratiopharm Ulm","2004-2005","421-gie","6"
"8","14","Florian"," Hartenstein ","13.08.1977","37","2.05m","120kg","","DEU","Uni of Oregon (USA)","2004-2005","421-gie","6"
"9","","Stefan"," Koch ","24.04.1964","50","1.90m","80kg","","DEU","OPEL SKYLINERS","2004-2005","421-gie","6"
"10","","Thorsten"," Leibenath ","07.04.1975","39","1.90m","80kg","","DEU","TV Lich","2004-2005","421-gie","6"
"11","","Johannes"," Lischka ","01.01.1987","27","2.03m","96kg","","DEU","* bis 02/2005 im Verein","2004-2005","421-gie","6"
"12","","Mike"," Mitchell ","04.04.1967","47","2.02m","103kg","","XXX","Besancon (FRA)","2004-2005","421-gie","6"
"13","21","Justin"," Phoenix ","29.09.1973","40","2.03m","100kg","","XXX","Sheffield Sharks (ENG)","2004-2005","421-gie","6"
"14","8","Heiko"," Schaffartzik ","03.01.1984","30","1.81m","76kg","","DEU","ALBA BERLIN","2004-2005","421-gie","6"
"15","17","Gerrit"," Terdenge ","30.01.1975","39","2.05m","97kg","","DEU","Caja Rural Melilla (ESP)","2004-2005","421-gie","6"
"16","6","Souleymane"," Wane ","28.01.1976","38","2.09m","110kg","","XXX","AZS Zagaz Koszalin (POL)","2004-2005","421-gie","6"
"17","16","Max"," Brammertz ","31.03.1986","28","1.97m","87kg","","DEU","eigene Jugend","2004-2005","415-bon","9"
"18","12","Alexander"," Djuric ","02.08.1982","32","2.10m","113kg","","XXX","Roter Stern Belgrad (SuM)","2004-2005","415-bon","9"
"19","13","Kueth"," Duany ","22.04.1980","34","1.99m","92kg","","XXX","BC Pepinster (BEL)","2004-2005","415-bon","9"
"20","","Wolfgang"," Gieler ","20.06.1986","28","2.04m","105kg","","DEU","eigene Jugend","2004-2005","415-bon","9"
"21","11","Peter"," Huber-Saffer ","11.11.1980","33","2.08m","98kg","","DEU","SER Rhöndorf","2004-2005","415-bon","9"
"22","9","Altron"," Jackson ","02.02.1980","34","1.98m","90kg","","XXX","Klima-Vill Kaposvar (UNG)","2004-2005","415-bon","9"
"23","8","Kristaps"," Janicenoks ","14.03.1983","31","1.96m","91kg","","XXX","Euphony Liege BC (BEL)","2004-2005","415-bon","9"
"24","14","Branko"," Klepac ","14.09.1979","34","2.06m","97kg","","DEU","TSV Speyer","2004-2005","415-bon","9"
"25","","Predrag"," Krunic ","01.01.1967","47","1.81m","0kg","","XXX","","2004-2005","415-bon","9"
"26","13","Radovan"," Markovic ","11.03.1982","32","1.92m","87kg","","XXX","Lavovi Belgrad (S&M)","2004-2005","415-bon","9"
"27","15","Martin"," Mihajlovic ","18.10.1981","32","2.08m","91kg","","XXX","Krka Novo Mesto (SLO)","2004-2005","415-bon","9"
"28","5","Dragan"," Miletic ","06.05.1982","32","1.95m","81kg","","XXX","Pivovarna Lasko (SLO)","2004-2005","415-bon","9"
"29","10","Branko"," Milisavljevic ","21.07.1976","38","1.94m","89kg","","XXX","Dynamo Moskau (RUS)","2004-2005","415-bon","9"
"30","6","Aleksandar"," Nadjfeji ","27.10.1976","37","2.02m","104kg","","XXX","KK Radnicki Belgrad (JUG)","2004-2005","415-bon","9"
"31","7","Oluoma"," Nnamaka ","14.09.1978","35","2.00m","100kg","","XXX","Marquette University (USA)","2004-2005","415-bon","9"
"32","4","Balazs"," Simon ","19.02.1980","34","1.88m","80kg","","XXX","KK Kaposvár (HUN)","2004-2005","415-bon","9"
"33","11","Joakim"," Blom ","16.03.1976","38","2.11m","104kg","","XXX","ASVEL Villeurbanne (FRA)","2004-2005","422-bra","12"
"34","","Liviu"," Calin ","18.09.1953","60","0.00m","0kg","","XXX","SG Braunschweig","2004-2005","422-bra","12"
