"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","24","Jannik"," Freese ","13.08.1986","28","2.10m","111kg","C","DEU","NY'er Phantoms Braunschweig","2008-2009","421-gie","17"
"2","54","Florian"," Hartenstein ","13.08.1977","37","2.05m","122kg","C","DEU","University of Oregon (USA)","2008-2009","421-gie","17"
"3","12","Ricky"," Hickman ","01.09.1983","30","1.90m","86kg","PG","USA","Otopeni Bukarest (ROM)","2008-2009","421-gie","17"
"4","4","Maurice"," Jeffers ","03.04.1979","35","1.94m","89kg","SF","USA","Leche Rio Breogan (ESP)","2008-2009","421-gie","17"
"5","8","Danny"," Lewis **","21.06.1970","44","1.85m","92kg","PG","USA","* bis 11/2008 im Verein","2008-2009","421-gie","17"
"6","13","Johannes"," Lischka ","02.04.1987","27","2.03m","103kg","SF","DEU","Giessen 46ers","2008-2009","421-gie","17"
"7","15","Robert"," Maras ","20.10.1978","35","2.15m","122kg","C","DEU","Union Baloncesto La Palma (ESP)","2008-2009","421-gie","17"
"8","42","John"," Ofoegbu **","08.11.1982","31","2.06m","110kg","C","USA","* bis 03/2009 im Verein","2008-2009","421-gie","17"
"9","20","Richard"," Poiger ","22.05.1987","27","2.02m","100kg","PF","AUT","Bayer Giants Leverkusen","2008-2009","421-gie","17"
"10","23","Corey"," Rouse ","03.02.1984","30","2.03m","97kg","PF","USA","Nürnberg","2008-2009","421-gie","17"
"11","30","Heiko"," Schaffartzik ","03.01.1984","30","1.83m","83kg","PG","DEU","EnBW Ludwigsburg","2008-2009","421-gie","17"
"12","32","Mensah"," Taylor **","18.02.1980","34","1.98m","92kg","SG","USA","* bis 9/2008 im Verein","2008-2009","421-gie","17"
"13","7","Gerrit"," Terdenge ","30.01.1975","39","2.05m","103kg","PF","DEU","Caja Rural Melilla (ESP)","2008-2009","421-gie","17"
"14","5","Michael"," Umeh ","18.09.1984","29","1.88m","89kg","SG","USA","University of Nevada (USA)","2008-2009","421-gie","17"
"15","6","Brandon"," Worthy ","12.04.1984","30","1.88m","85kg","PG","USA","* bis 12/2008 im Verein","2008-2009","421-gie","17"
"16","9","John"," Bowler ","04.04.1984","30","2.04m","112kg","C","USA","E.-Michigan-University (USA)","2008-2009","415-bon","4"
"17","15","Brandon Kyle"," Bowman ","15.10.1984","29","2.04m","100kg","PF","USA","Ignis Novara (ITA)","2008-2009","415-bon","4"
"18","10","Timothy"," Clifford ","06.08.1986","28","2.11m","115kg","C","USA","Holy Cross College (USA)","2008-2009","415-bon","4"
"19","8","Moussa"," Diagne ","11.01.1984","30","2.04m","102kg","PF","SEN","Furman University (USA)","2008-2009","415-bon","4"
