"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","10","Christopher"," Anrin ","10.11.1980","33","2.00m","99kg","SF","SWE","Providence Friars (NCAA)","2005-2006","421-gie","11"
"2","","Alexander"," Atoberhan ","02.06.1985","29","1.85m","78kg","","DEU","MTV 1846 Gießen","2005-2006","421-gie","11"
"3","7","Louis"," Campbell ","01.04.1979","35","1.90m","85kg","","USA","Paderborn Baskets","2005-2006","421-gie","11"
"4","","Dominic"," Cannon ","24.06.1983","31","1.90m","87kg","","DEU","* bis 02/2005 im Verein","2005-2006","421-gie","11"
"5","15","Adam"," Chubb ","05.07.1981","33","2.07m","110kg","","USA","Ulsan Mobis Phoebus (KOR)","2005-2006","421-gie","11"
"6","13","Vytas"," Danelius ","16.07.1982","32","2.03m","110kg","","LTU","Wake Forest College (USA)","2005-2006","421-gie","11"
"7","31","Chuck"," Eidson ","10.10.1980","33","2.00m","96kg","SF","USA","Charleston Lowgators (USA)","2005-2006","421-gie","11"
"8","20","Barry Jaquawn"," Elder ","04.09.1982","31","1.93m","92kg","SF","USA","Georgia Tech University","2005-2006","421-gie","11"
"9","5","Anton"," Gavel ","24.10.1984","29","1.89m","87kg","","SVK","BG ICELINE Karlsruhe","2005-2006","421-gie","11"
"10","14","Florian"," Hartenstein ","13.08.1977","37","2.05m","120kg","","DEU","Uni of Oregon (USA)","2005-2006","421-gie","11"
"11","9","David"," Jandl ","15.07.1984","30","1.80m","74kg","","AUT","Oberwart Gunners (AUT)","2005-2006","421-gie","11"
"12","","Stefan"," Koch ","24.04.1964","50","1.90m","80kg","","DEU","OPEL SKYLINERS","2005-2006","421-gie","11"
"13","21","Terrence Savalos"," Leather ","07.01.1981","33","2.05m","100kg","","USA","South Florida (NCAA)","2005-2006","421-gie","11"
"14","","Thorsten"," Leibenath ","07.04.1975","39","1.90m","80kg","","DEU","TV Lich","2005-2006","421-gie","11"
"15","8","Nigel"," Moore ","11.09.1981","32","1.98m","88kg","SF","USA","TV 1860 Lich","2005-2006","421-gie","11"
"16","17","Gerrit"," Terdenge ","30.01.1975","39","2.05m","97kg","","DEU","Caja Rural Melilla (ESP)","2005-2006","421-gie","11"
"17","6","Souleymane"," Wane ","28.01.1976","38","2.09m","110kg","","SEN","AZS Zagaz Koszalin (POL)","2005-2006","421-gie","11"
"18","16","Terry"," Black ","15.09.1978","35","1.95m","90kg","","USA","Dakota Wizzards (USA)","2005-2006","415-bon","7"
"19","7","Tarik"," Chebib ","21.11.1986","27","1.80m","75kg","","DEU","Telekom Baskets Jugend","2005-2006","415-bon","7"
"20","10","Jason"," Conley ","21.07.1981","33","1.95m","95kg","","USA","University of Missouri (USA)","2005-2006","415-bon","7"
"21","5","Aljaz"," Janza ","23.03.1981","33","1.85m","85kg","","SVN","Helio Domzale (SLO)","2005-2006","415-bon","7"
"22","13","Sinisa"," Kelecevic ","10.04.1970","44","2.06m","110kg","","HRV","BC Cantu (ITA)","2005-2006","415-bon","7"
"23","14","Branko"," Klepac ","14.09.1979","34","2.06m","97kg","","DEU","TSV Speyer","2005-2006","415-bon","7"
"24","","Michael"," Koch ","13.01.1966","48","1.89m","90kg","","DEU","SOBA DRAGONS Rhöndorf","2005-2006","415-bon","7"
"25","11","Artur"," Kolodziejski ","18.09.1979","34","1.95m","90kg","","DEU","Bayer Giants Leverkusen","2005-2006","415-bon","7"
"26","12","Michael"," Meeks ","23.02.1972","42","2.07m","110kg","","DEU","Reggio Calabria (ITA)","2005-2006","415-bon","7"
"27","15","Martin"," Mihajlovic ","18.10.1981","32","2.08m","91kg","","HRV","Krka Novo Mesto (SLO)","2005-2006","415-bon","7"
"28","9","Milos"," Paravinja ","19.03.1979","35","2.10m","105kg","","SVN","Slovan Ljubljana (SLO)","2005-2006","415-bon","7"
"29","8","Hrvoje"," Perincic ","28.03.1978","36","1.97m","93kg","","HRV","SIG Strasbourg (FRA)","2005-2006","415-bon","7"
"30","","Karsten"," Schul ","29.05.1967","47","1.99m","95kg","","DEU","Brandt Hagen","2005-2006","415-bon","7"
"31","7","John-Robert"," Stark ","07.01.1983","31","1.95m","89kg","","USA","Pacific Lutheran University (USA)","2005-2006","415-bon","7"
"32","6","Ivan"," Tomeljak ","02.02.1979","35","1.94m","90kg","","HRV","Mlekarna Kunin (CZE)","2005-2006","415-bon","7"
"33","4","Andrew"," Wisniewski ","01.09.1981","32","1.91m","85kg","","USA","Roter Stern Belgrad (SCG)","2005-2006","415-bon","7"
"34","11","Joakim"," Blom ","16.03.1976","38","2.11m","104kg","","SWE","ASVEL Villeurbanne (FRA)","2005-2006","422-bra","16"
"35","","Liviu"," Calin ","18.09.1953","60","1.89m","83kg","","ROU","SG Braunschweig","2005-2006","422-bra","16"
"36","19","Kueth"," Duany ","22.04.1980","34","1.99m","92kg","","SDN","* bis 12/2005 im Verein","2005-2006","422-bra","16"
"37","14","Peter"," Fehse ","18.05.1983","31","2.11m","100kg","","DEU","Mitteldeutscher BC","2005-2006","422-bra","16"
"38","9","Gordan"," Firic ","01.09.1970","43","1.96m","92kg","","ITA","Sicc Jesi (ITA)","2005-2006","422-bra","16"
"39","7","Vernard"," Hollins ","23.11.1980","33","1.92m","92kg","","USA","Pioneros Los Mochis (MEX)","2005-2006","422-bra","16"
"40","19","Dan"," Langhi ","28.11.1977","36","2.08m","100kg","","USA","Snaidero Udine (ITA)","2005-2006","422-bra","16"
"41","5","Chauncey"," Leslie ","06.07.1981","33","1.83m","78kg","","USA","Val d'Allier Auvergne (FRA)","2005-2006","422-bra","16"
"42","4","Jan"," Lipke ","24.07.1983","31","1.92m","92kg","","DEU","SG Braunschweig","2005-2006","422-bra","16"
"43","","Emir"," Mutapcic ","27.05.1960","54","2.00m","100kg","","BIH","ALBA BERLIN","2005-2006","422-bra","16"
"44","10","Dirk"," Mädrich ","16.07.1983","31","2.10m","110kg","","DEU","GHP Bamberg","2005-2006","422-bra","16"
"45","17","Leo"," Niebuhr ","04.08.1986","28","2.01m","88kg","","DEU","TuS Ebstorf","2005-2006","422-bra","16"
"46","13","Mikko"," Noopila ","03.06.1977","37","2.04m","102kg","","FIN","New Mexico State University","2005-2006","422-bra","16"
"47","6","Tyray"," Pearson ","03.11.1980","33","2.02m","105kg","","USA","Benfica Lissabon (POR)","2005-2006","422-bra","16"
"48","8","Ben"," Perkins ","20.05.1979","35","2.00m","100kg","","USA","SG Braunschweig","2005-2006","422-bra","16"
"49","12","Jorge"," Schmidt ","16.05.1985","29","1.92m","87kg","","DEU","BG 74 Göttingen","2005-2006","422-bra","16"
"50","16","Melvin"," Scott ","02.03.1982","32","1.89m","87kg","SF","USA","* bis 12/2005 im Verein","2005-2006","422-bra","16"
"51","15","Flavio"," Stückemann ","03.04.1985","29","1.90m","80kg","","DEU","TuS Bramsche","2005-2006","422-bra","16"
"52","16","Andre"," Woolridge ","11.11.1973","40","1.83m","87kg","","USA","Trotamundos (VEN)","2005-2006","422-bra","16"
"53","23","Carlos"," Andrade ","27.04.1978","36","1.97m","103kg","SF","PRT","Queluz (POR)","2005-2006","426-fra","14"
"54","15","Malick"," Badiane ","01.11.1984","29","2.11m","106kg","","SEN","TV Langen","2005-2006","426-fra","14"
"55","5","Dominik"," Bahiense de Mello ","15.02.1985","29","1.90m","90kg","","DEU","SOBA Dragons Rhöndorf","2005-2006","426-fra","14"
"56","","Charles"," Barton ","01.01.1947","67","1.85m","80kg","","USA","Aris Thessaloniki (GRE)","2005-2006","426-fra","14"
"57","","Daphne"," Bouzikou ","21.09.1969","44","1.73m","58kg","","DEU","TATAMI Rhöndorf","2005-2006","426-fra","14"
"58","","Simon"," Cote ","17.08.1971","43","1.80m","71kg","","USA","","2005-2006","426-fra","14"
"59","9","Ibrahim"," Diarra ","12.11.1973","40","1.95m","98kg","","SWE","Sodertalje Kings (SWE)","2005-2006","426-fra","14"
"60","24","Desmond"," Ferguson ","22.07.1977","37","2.01m","100kg","SF","USA","* bis 12/2005 im Verein","2005-2006","426-fra","14"
"61","4","Kavossy"," Franklin ","17.07.1975","39","1.88m","85kg","","USA","Hunter Pirates (AUS)","2005-2006","426-fra","14"
