"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","18","Valentin"," Blass ","17.04.1995","19","1.95m","88kg","SG","DEU","Rhöndorfer TV","2013-2014","415-bon","5"
"2","7","Ryan"," Brooks ","12.04.1988","26","1.93m","91kg","SG","USA","FRAPORT SKYLINERS","2013-2014","415-bon","5"
"3","13","Tony"," Gaffney ","14.11.1984","29","2.06m","102kg","PF","USA","Memphis Grizzlies (USA)","2013-2014","415-bon","5"
"4","10","Jared"," Jordan **","14.10.1984","29","1.88m","87kg","PG","USA","*NICHT MEHR IM KADER","2013-2014","415-bon","5"
"5","12","Florian"," Koch ","26.03.1992","22","1.97m","86kg","SF","DEU","Team Bonn/Rhöndorf (NBBL)","2013-2014","415-bon","5"
"6","10","Eugene"," Lawrence ","22.06.1986","28","1.84m","105kg","PG","USA","Hoverla (UKR)","2013-2014","415-bon","5"
"7","5","Kurt"," Looby ","14.02.1984","30","2.08m","112kg","C","USA","Trefl Sopot (POL)","2013-2014","415-bon","5"
"8","8","Andrej"," Mangold ","14.01.1987","27","1.90m","93kg","PG","DEU","Artland Dragons","2013-2014","415-bon","5"
"9","","Giacomo"," May ","09.12.1994","19","1.94m","91kg","SG","DEU","ifm Baskets Konstanz","2013-2014","415-bon","5"
"10","4","David"," McCray ","06.11.1986","27","1.87m","85kg","PG","DEU","EnBW Ludwigsburg","2013-2014","415-bon","5"
"11","15","Jamel"," McLean ","18.04.1988","26","2.03m","104kg","PF","USA","Telindus Oostende (BEL)","2013-2014","415-bon","5"
"12","17","Luca"," Mertz ","03.09.1994","20","1.80m","75kg","PG","DEU","Telekom Baskets Bonn","2013-2014","415-bon","5"
"13","16","Thomas"," Michel ","09.02.1995","19","2.00m","90kg","PF","DEU","Rhöndorfer TV","2013-2014","415-bon","5"
"14","","Nils"," Pertzborn ","23.12.1994","19","1.83m","78kg","SG","DEU","Hennefer TV","2013-2014","415-bon","5"
"15","6","Benas"," Veikalas ","24.09.1983","30","1.92m","90kg","SG","LTU","BK Prostejov (CZE)","2013-2014","415-bon","5"
"16","14","Steve"," Wachalski ","05.02.1983","31","2.02m","95kg","PF","DEU","Mitteldeutscher BC","2013-2014","415-bon","5"
"17","11","Enosch"," Wolf **","18.10.1990","23","2.15m","111kg","C","DEU","*NICHT MEHR IM KADER","2013-2014","415-bon","5"
"18","9","Donatas"," Zavackas **","23.04.1980","34","2.03m","104kg","PF","LTU","*NICHT MEHR IM KADER","2013-2014","415-bon","5"
"19","32","Angelo"," Caloiaro ","28.07.1989","25","2.03m","102kg","PF","USA","Rilski Sportist Samokov (BUL)","2013-2014","428-mbc","9"
"20","25","Oliver"," Clay ","28.08.1987","27","2.06m","98kg","PF","DEU","s.Oliver Baskets","2013-2014","428-mbc","9"
"21","15","Michael"," Cuffee ","12.07.1983","31","1.95m","91kg","SF","USA","Sundsvall Dragons (SwE)","2013-2014","428-mbc","9"
"22","30","Leon"," Friederici ","19.03.1995","19","1.86m","80kg","PG","DEU","DBV Charlottenburg","2013-2014","428-mbc","9"
"23","19","Daniel"," Hain ","19.07.1985","29","1.95m","90kg","PG","DEU","Telekom Baskets Bonn","2013-2014","428-mbc","9"
"24","9","Marcus"," Hatten ","13.12.1980","33","1.85m","82kg","PG","USA","Kolossos Rodou (GRE)","2013-2014","428-mbc","9"
"25","","Alexander"," Herrmann ","23.05.1997","17","2.03m","95kg","C","DEU","Mitteldeutscher Basketball Club","2013-2014","428-mbc","9"
"26","11","Hrvoje"," Kovacevic ","25.01.1986","28","1.90m","0kg","SG","HRV","KK Cibona Zagreb (CRO)","2013-2014","428-mbc","9"
"27","16","Sascha"," Leutloff ","22.10.1982","31","2.02m","99kg","SF","DEU","TuS Lichterfelde","2013-2014","428-mbc","9"
"28","33","Martins"," Meiers ","30.03.1991","23","2.08m","108kg","C","LVA","BK Ventspils (LAT)","2013-2014","428-mbc","9"
"29","12","Djordje"," Pantelic ","05.07.1984","30","2.04m","113kg","C","SCG","Falco-Szova KC-Szombathely (HUN)","2013-2014","428-mbc","9"
"30","23","Adonte"," Parker ","23.06.1989","25","1.83m","85kg","PG","USA","Bayer Giants Leverkusen","2013-2014","428-mbc","9"
"31","6","Malte"," Schwarz ","30.03.1989","25","1.88m","78kg","SG","DEU","SC Rist Wedel","2013-2014","428-mbc","9"
"32","8","Walter"," Simon ","12.07.1989","25","2.02m","90kg","PF","DEU","Uni-Riesen Leipzig","2013-2014","428-mbc","9"
"33","","Henry"," Volkert ","04.03.1994","20","1.90m","86kg","SG","DEU","TV Lich","2013-2014","428-mbc","9"
"34","","Roland"," Winterstein ","17.03.1996","18","1.96m","83kg","PF","DEU","RSV Eintracht Stahnsdorf","2013-2014","428-mbc","9"
"35","21","Robin"," Amaize ","31.01.1994","20","1.88m","80kg","SG","DEU","LTi GIESSEN 46ers","2013-2014","422-bra","15"
"36","","Ole"," Angerstein ","24.08.1995","19","2.05m","85kg","C","DEU","Team BS/WF","2013-2014","422-bra","15"
"37","24","Martin"," Bogdanov ","06.10.1992","21","1.83m","83kg","PG","DEU","Cuxhaven BasCats","2013-2014","422-bra","15"
"38","","Adrian"," Didovic ","21.12.1994","19","1.90m","85kg","PF","DEU","LTI GIESSEN 46ers","2013-2014","422-bra","15"
"39","11","Aaron"," Doornekamp ","05.12.1985","28","2.01m","96kg","SF","CAN","Juve Caserta (ITA)","2013-2014","422-bra","15"
"40","10","James"," Florence ","31.05.1988","26","1.85m","82kg","PG","USA","Szolnoki Olaj (HUN)","2013-2014","422-bra","15"
"41","19","Lucas"," Gertz ","02.05.1990","24","1.96m","85kg","SG","DEU","SG Braunschweig","2013-2014","422-bra","15"
"42","16","Dominique"," Johnson ","04.08.1992","22","1.94m","98kg","SF","DEU","Eisbären Bremerhaven","2013-2014","422-bra","15"
"43","35","Kenny"," Kadji  **","19.05.1988","26","2.11m","110kg","PF","CMR","*NICHT MEHR IM KADER","2013-2014","422-bra","15"
"44","5","Robert"," Kulawick ","01.02.1986","28","1.93m","90kg","SG","DEU","BG Göttingen","2013-2014","422-bra","15"
"45","22","Erik"," Land ","03.06.1990","24","2.05m","105kg","C","DEU","Saar-Pfalz Braves (ProA)","2013-2014","422-bra","15"
"46","12","Willy Gregg"," Manigat ","02.10.1987","26","1.82m","75kg","PG","CAN","Spot up Medien Baskets Braunschweig","2013-2014","422-bra","15"
"47","23","Immanuel"," McElroy ","25.03.1980","34","1.94m","95kg","SF","USA","ALBA BERLIN","2013-2014","422-bra","15"
"48","8","Harding"," Nana ","17.01.1981","33","2.03m","104kg","PF","CMR","Ilisiakos Athen (GRE)","2013-2014","422-bra","15"
"49","17","Maurice"," Pluskota ","30.05.1992","22","2.08m","110kg","PF","DEU","Eisbären Bremerhaven","2013-2014","422-bra","15"
"50","4","Isaiah"," Swann ","10.02.1985","29","1.88m","87kg","SG","USA","Royal Hali Gaziantep BSB (TUR","2013-2014","422-bra","15"
"51","7","Kyle"," Visser ","19.10.1985","28","2.11m","110kg","C","USA","KK Radnicki (SRB)","2013-2014","422-bra","15"
"52","18","Brian"," Wenzel ","27.03.1991","23","1.96m","112kg","PF","DEU","Science City Jena","2013-2014","422-bra","15"
"53","20","Jörn"," Wessels ","19.07.1991","23","2.06m","100kg","SF","DEU","SG FT/MTV Braunschweig","2013-2014","422-bra","15"
"54","6","Achmadschah"," Zazai ","05.12.1986","27","1.75m","68kg","PG","DEU","LTi GIESSEN 46ers","2013-2014","422-bra","15"
"55","11","Bryan"," Bailey ","13.05.1980","34","1.85m","77kg","SG","USA","Artland Dragons","2013-2014","425-bay","14"
"56","25","Tim"," Brauner ","14.02.1991","23","1.85m","75kg","PG","DEU","ASC Mainz","2013-2014","425-bay","14"
"57","30","Ronald"," Burrell ","21.07.1983","31","2.04m","102kg","PF","USA","EWE Baskets Oldenburg","2013-2014","425-bay","14"
"58","20","Tyree"," Chambers ","14.06.1994","20","1.87m","80kg","PG","DEU","BBC Bayreuth","2013-2014","425-bay","14"
"59","10","William"," Conroy **","08.12.1982","31","1.88m","88kg","PG","USA","*NICHT MEHR IM KADER","2013-2014","425-bay","14"
"60","","Dilhan"," Durant ","22.03.1996","18","1.85m","75kg","PG","DEU","BBC Bayreuth","2013-2014","425-bay","14"
"61","7","Nikolas Oliver"," Genz ","19.05.1991","23","1.93m","90kg","SF","DEU","BBC Bayreuth","2013-2014","425-bay","14"
"62","14","Kevin"," Hamilton ","02.05.1984","30","1.92m","82kg","PG","USA","New Yorker Phantoms Braunschweig","2013-2014","425-bay","14"
"63","22","Phillipp"," Heyden ","26.09.1988","25","2.06m","112kg","C","DEU","Mitteldeutscher BC","2013-2014","425-bay","14"
"64","41","Brian"," Qvale ","03.11.1988","25","2.10m","107kg","C","USA","Belfius Mons-Hainaut (BEL)","2013-2014","425-bay","14"
"65","","Jonas"," Riesner ","13.11.1991","22","1.95m","75kg","SF","DEU","BBC Bayreuth","2013-2014","425-bay","14"
"66","21","Simon"," Schmitz ","17.02.1990","24","1.88m","77kg","PG","DEU","Science City Jena","2013-2014","425-bay","14"
"67","8","Dennis Jerome"," Seeley ","28.11.1989","24","1.93m","88kg","SG","USA","BC Radnicki Kragujevac (SRB)","2013-2014","425-bay","14"
"68","24","Sead"," Sehovic **","22.08.1989","25","1.99m","95kg","SG","SCG","*NICHT MEHR IM KADER","2013-2014","425-bay","14"
"69","22","Julius"," Seither ","04.03.1994","20","2.02m","96kg","PF","DEU","BG Karlsruhe","2013-2014","425-bay","14"
"70","9","Nicolai"," Simon ","03.01.1987","27","1.90m","89kg","PG","DEU","WALTER Tigers Tübingen","2013-2014","425-bay","14"
"71","7","Tom"," Spöler ","14.04.1988","26","2.07m","100kg","SF","DEU","GiroLive-Ballers Osnabrück","2013-2014","425-bay","14"
"72","34","Kyle"," Weems ","23.08.1989","25","1.98m","100kg","SF","USA","Telekom Baskets Bonn","2013-2014","425-bay","14"
"73","42","Beckham"," Wyrick ","13.12.1983","30","1.98m","101kg","SF","USA","BBC Bayreuth","2013-2014","425-bay","14"
"74","17","Peter"," Zeis ","13.05.1989","25","1.96m","96kg","SF","DEU","TSV Tröster Breitengüßbach","2013-2014","425-bay","14"
"75","21","Danilo"," Barthel ","24.10.1991","22","2.07m","100kg","PF","DEU","USC Heidelberg","2013-2014","426-fra","11"
