"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","12","William"," Donlon ","10.02.1977","37","1.83m","0kg","","XXX","Bourg en Bresse (FRA)","2001-2002","421-gie","6"
"2","5","Norman"," Froemel ","26.09.1972","41","2.15m","130kg","","DEU","SSV ratiopharm Ulm","2001-2002","421-gie","6"
"3","12","Timothy-Earl"," Gill ","01.01.1976","38","1.89m","0kg","","XXX","*nicht mehr im Verein","2001-2002","421-gie","6"
"4","8","Robin"," Grey ","09.08.1976","38","1.94m","93kg","","DEU","OPEL SKYLINERS","2001-2002","421-gie","6"
"5","","Markus"," Hallgrimson ","01.01.1975","39","1.91m","0kg","","XXX","*nicht mehr im Verein","2001-2002","421-gie","6"
"6","14","Florian"," Hartenstein ","13.08.1977","37","2.05m","120kg","","DEU","Uni of Oregon (USA)","2001-2002","421-gie","6"
"7","","Thorsten"," Leibenath ","07.04.1975","39","1.90m","80kg","","DEU","TV Lich","2001-2002","421-gie","6"
"8","9","T.J."," Lux ","29.04.1977","37","2.08m","110kg","","XXX","University of North Carolina","2001-2002","421-gie","6"
"9","4","Mike"," Mitchell ","04.04.1967","47","2.02m","103kg","","XXX","Besancon","2001-2002","421-gie","6"
"10","13","Detlef"," Musch ","01.01.1970","44","2.12m","112kg","","DEU","Reggio Calabria","2001-2002","421-gie","6"
"11","10","Rodney"," Scruggs ","05.02.1983","31","1.90m","81kg","","DEU","VfL Marburg","2001-2002","421-gie","6"
"12","6","Gil"," Sela ","17.03.1973","41","1.96m","0kg","","XXX","*nicht mehr im Verein","2001-2002","421-gie","6"
"13","7","Rick"," Stafford ","19.04.1972","42","1.90m","92kg","","DEU","Brandt Hagen","2001-2002","421-gie","6"
"14","6","Harald"," Stein ","01.11.1966","47","1.96m","87kg","","DEU","*nicht mehr im Verein","2001-2002","421-gie","6"
"15","11","Gregory"," Stevenson ","10.02.1987","27","1.98m","100kg","","XXX","Uni of Richmond (USA)","2001-2002","421-gie","6"
"16","","John-Richard"," Taylor ","01.01.1972","42","2.00m","0kg","","XXX","*nicht mehr im Verein","2001-2002","421-gie","6"
"17","","Joseph"," Whelton ","15.02.1956","58","1.82m","85kg","","XXX","TATAMI Rhöndorf","2001-2002","421-gie","6"
"18","15","Radisa"," Zdravkovic ","30.06.1976","38","1.92m","92kg","","DEU","Oldenburger TB","2001-2002","421-gie","6"
"19","7","Hurl"," Beechum ","02.05.1973","41","1.95m","95kg","SF","DEU","Iowa State University","2001-2002","415-bon","1"
