"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","16","Javon"," Baumann ","05.11.1992","21","2.03m","105kg","C","DEU","MTV Gießen","2010-2011","421-gie","15"
"2","12","Ryan"," Brooks ","12.04.1988","26","1.93m","91kg","SF","USA","Temple University (USA)","2010-2011","421-gie","15"
"3","","Robin"," Christen ","19.04.1991","23","2.00m","90kg","PF","DEU","TV Lich","2010-2011","421-gie","15"
"4","6","Jannik"," Freese ","13.08.1986","28","2.11m","112kg","C","DEU","SUM Baskets Braunschweig","2010-2011","421-gie","15"
"5","4","Giorgi"," Gamqrelidze ","04.02.1986","28","1.83m","83kg","PG","GEO","Mitteldeutscher BC","2010-2011","421-gie","15"
"6","14","Chase"," Griffin ","03.08.1983","31","1.88m","84kg","SG","USA","Phoenix Hagen","2010-2011","421-gie","15"
"7","24","Nick"," Jacobson **","25.10.1980","33","1.95m","92kg","SG","USA","Spirou Charleroi (BEL)","2010-2011","421-gie","15"
"8","32","Maurice"," Jeffers ","03.04.1979","35","1.94m","89kg","SF","USA","CA Lanus Buenos Aires (ARG)","2010-2011","421-gie","15"
"9","23","Michael"," Jordan ","24.06.1977","37","1.83m","87kg","PG","USA","Phoenix Hagen","2010-2011","421-gie","15"
"10","18","Dominik"," Lockhard ","03.07.1994","20","1.93m","78kg","SG","DEU","MTV 18456 Gießen","2010-2011","421-gie","15"
"11","8","Dirk"," Mädrich ","16.07.1983","31","2.12m","111kg","PF","DEU","Olimpiada Patras (GRE)","2010-2011","421-gie","15"
"12","10","Elvir"," Ovcina ","16.07.1976","38","2.12m","118kg","C","BIH","Parklji Polzela (SLO)","2010-2011","421-gie","15"
"13","15","Zachery"," Peacock ","13.10.1987","26","2.03m","107kg","PF","USA","Georgia Tech (USA)","2010-2011","421-gie","15"
"14","7","Mathias"," Perl ","17.01.1989","25","1.87m","82kg","PG","DEU","TV Lich","2010-2011","421-gie","15"
"15","17","Robin"," Pflüger ","16.02.1993","21","1.93m","84kg","SG","DEU","MTV Gießen","2010-2011","421-gie","15"
"16","","Johannes"," Schläfer ","21.06.1988","26","1.96m","88kg","SF","DEU","BBLZ Mitelhessen","2010-2011","421-gie","15"
"17","9","Tim"," Schwartz ","21.11.1987","26","1.97m","91kg","SF","DEU","TBB Trier","2010-2011","421-gie","15"
