"","jersey_number","first_name","last_name","dob","age","height","weight","position","nationality","last_team","season","team","standing"
"1","10","Marco"," Buljevic ","26.03.1987","27","1.94m","82kg","PG","DEU","Erdgas Ehingen","2006-2007","421-gie","16"
"2","8","Aleksandar"," Cubrilo ","25.11.1975","38","2.07m","100kg","PF","SCG","KK Radnicki Belgrad (SCG)","2006-2007","421-gie","16"
"3","24","Jean"," Francois ","10.12.1980","33","1.97m","91kg","SF","USA","Scottish Rocks (ENG)","2006-2007","421-gie","16"
"4","54","Florian"," Hartenstein ","13.08.1977","37","2.05m","120kg","C","DEU","Uni of Oregon (USA)","2006-2007","421-gie","16"
"5","5","James"," Head ","26.10.1975","38","1.98m","100kg","PF","USA","Elitzur Ashkelon (ISR)","2006-2007","421-gie","16"
"6","11","Mike"," Helms ","29.12.1982","31","1.84m","85kg","SG","USA","Singapore Slingers (AUS)","2006-2007","421-gie","16"
"7","9","Ernests"," Kalve ","14.04.1987","27","2.00m","95kg","SF","LVA","Benetton Treviso (ITA)","2006-2007","421-gie","16"
"8","21","Anton"," Kazarnovski ","21.01.1985","29","2.05m","100kg","PF","ISR","Hapoel Holon (ISR)","2006-2007","421-gie","16"
"9","15","Johannes"," Lischka ","01.01.1987","27","2.03m","96kg","PF","DEU","Giessen 46ers","2006-2007","421-gie","16"
"10","13","Robert"," Maras ","20.10.1978","35","2.15m","119kg","C","DEU","Palma Aqua Magica (ESP)","2006-2007","421-gie","16"
"11","44","Reggie"," Moore ","31.03.1983","31","2.03m","100kg","SF","USA","* bis 10/2006 im Verein","2006-2007","421-gie","16"
"12","11","Danilo-Agustin"," Pinnock ","11.12.1983","30","1.93m","90kg","SG","USA","* bis 1/2007 im Verein","2006-2007","421-gie","16"
"13","33","Rouven"," Roessler ","14.11.1980","33","1.98m","97kg","SF","DEU","BG Karlsruhe","2006-2007","421-gie","16"
"14","4","Brian"," Snider ","23.05.1983","31","1.95m","90kg","PG","USA","Holland Blast (USA)","2006-2007","421-gie","16"
"15","7","Gerrit"," Terdenge ","30.01.1975","39","2.05m","97kg","PF","DEU","Caja Rural Melilla (ESP)","2006-2007","421-gie","16"
"16","12","Obie"," Trotter ","09.02.1984","30","1.86m","75kg","PG","USA","Alabama University (USA)","2006-2007","421-gie","16"
"17","9","John"," Bowler ","04.04.1984","30","2.04m","115kg","C","USA","East.-Michigan-University (USA)","2006-2007","415-bon","6"
"18","16","Gyasi"," Cline-Heard ","16.08.1979","35","2.02m","100kg","PF","USA","Tofas Bursa (TUR)","2006-2007","415-bon","6"
"19","10","Jason"," Conley ","21.07.1981","33","1.95m","95kg","SG","USA","University of Missouri (USA)","2006-2007","415-bon","6"
"20","13","Patrick"," Flomo ","19.07.1980","34","2.03m","98kg","C","DEU","Hertener Löwen (2.Liga Nord)","2006-2007","415-bon","6"
"21","4","Jason"," Gardner ","14.11.1980","33","1.78m","86kg","PG","USA","Maccabi Ironi Ramat Gan (ISR)","2006-2007","415-bon","6"
"22","11","Artur"," Kolodziejski ","18.09.1979","34","1.95m","90kg","SG","DEU","Bayer Giants Leverkusen","2006-2007","415-bon","6"
"23","15","Bernd"," Kruel ","01.06.1976","38","2.09m","103kg","C","DEU","Deutsche Bank SKYLINERS","2006-2007","415-bon","6"
"24","","Kevin"," Lubanzadio **","13.05.1989","25","1.90m","97kg","SG","DEU","Telekom Baskets Bonn","2006-2007","415-bon","6"
"25","6","Marko"," Markovic ","03.12.1985","28","1.97m","90kg","SF","SVN","Rudar Trbovlje (SLO)","2006-2007","415-bon","6"
"26","12","Martynas"," Mazeika ","29.01.1985","29","1.92m","80kg","PG","LTU","ALBA Berlin","2006-2007","415-bon","6"
"27","8","Tyray"," Pearson ","03.11.1980","33","2.02m","105kg","PF","USA","BS|Energy Braunschweig","2006-2007","415-bon","6"
"28","5","Jeff"," Schiffner ","24.06.1982","32","1.95m","90kg","SF","USA","Queluz (POR)","2006-2007","415-bon","6"
"29","7","John-Robert"," Stark ","07.01.1983","31","1.95m","89kg","SF","USA","P. Lutheran University (USA)","2006-2007","415-bon","6"
"30","","Fabian"," Thülig **","21.09.1989","24","1.96m","85kg","PF","DEU","Telekom Baskets Bonn","2006-2007","415-bon","6"
"31","","Matthias"," von Heydebrand **","11.04.1988","26","1.94m","82kg","SG","DEU","Faiport High School / USA","2006-2007","415-bon","6"
"32","","Sascha"," Wahlbröhl **","06.01.1989","25","1.91m","85kg","SG","DEU","Telekom Baskets Bonn","2006-2007","415-bon","6"
"33","11","Milko"," Bjelica ","04.06.1984","30","2.07m","105kg","C","SCG","Roter Stern Belgrad (SCG)","2006-2007","422-bra","14"
"34","8","Ashanti"," Cook ","20.09.1984","29","1.87m","81kg","PG","USA","Georgetown Hoyas (USA)","2006-2007","422-bra","14"
"35","5","Gregory"," Davis ","25.06.1982","32","1.86m","78kg","PG","USA","Astoria Bydgoszcz (POL)","2006-2007","422-bra","14"
"36","14","Peter"," Fehse ","18.05.1983","31","2.11m","100kg","PF","DEU","Mitteldeutscher BC","2006-2007","422-bra","14"
"37","16","Jannik"," Freese ","13.08.1986","28","2.08m","105kg","C","DEU","Oldenburger TB","2006-2007","422-bra","14"
"38","13","Nikita"," Khartchenkov ","12.01.1987","27","2.01m","92kg","SF","DEU","BC Khimky Moskau (RUS)","2006-2007","422-bra","14"
"39","4","Greg"," Morgan ","22.08.1981","32","2.03m","110kg","PF","USA","Unia Tarnow (POL)","2006-2007","422-bra","14"
"40","","Leo"," Niebuhr ","04.08.1986","28","2.01m","88kg","PF","DEU","TuS Ebstorf","2006-2007","422-bra","14"
"41","18","Philip"," Noch ","01.04.1989","25","1.99m","80kg","PF","DEU","","2006-2007","422-bra","14"
"42","12","Jorge"," Schmidt ","16.05.1985","29","1.92m","87kg","SG","DEU","BG 74 Göttingen","2006-2007","422-bra","14"
"43","20","Awvee"," Storey ","18.04.1977","37","1.98m","95kg","SG","USA","Dakota Wizards (USA)","2006-2007","422-bra","14"
"44","15","Flavio"," Stückemann ","03.04.1985","29","1.90m","80kg","PG","DEU","TuS Bramsche","2006-2007","422-bra","14"
"45","9","Vujadin"," Subotic ","18.12.1981","32","1.98m","92kg","SG","SCG","Roter Stern Belgrad (SCG)","2006-2007","422-bra","14"
"46","7","Vladimir"," Tica ","11.06.1981","33","2.08m","105kg","C","SCG","Dexia Mons-Hainaut (BEL)","2006-2007","422-bra","14"
"47","10","Drazan"," Tomic ","27.04.1975","39","1.97m","90kg","SG","DEU","Kolossos Rhodos (GRE)","2006-2007","422-bra","14"
"48","6","Tory"," Walker ","16.08.1979","35","2.03m","95kg","PF","USA","Artland Dragons","2006-2007","422-bra","14"
"49","5","Dominik"," Bahiense de Mello ","15.02.1985","29","1.90m","90kg","PG","DEU","SOBA Dragons Rhöndorf","2006-2007","426-fra","13"
"50","15","Michael"," Bauer ","01.01.1981","33","2.03m","102kg","PF","USA","EB Pau-Orthez (FRA)","2006-2007","426-fra","13"
"51","24","Michael-Malik"," Benton ","08.04.1980","34","2.06m","120kg","C","USA","KCC Egis (KOR)","2006-2007","426-fra","13"
"52","45","Travon"," Bryant ","05.02.1983","31","2.06m","122kg","PF","USA","Benetton Treviso (ITA)","2006-2007","426-fra","13"
"53","32","Eric"," Chatfield ","07.12.1979","34","1.91m","100kg","PG","USA","Al Rayyan (QAT)","2006-2007","426-fra","13"
"54","12","Ibrahim"," Diarra ","12.11.1973","40","1.95m","98kg","PF","SWE","Sodertalje Kings (SWE)","2006-2007","426-fra","13"
"55","21","Stefano"," Garris ","21.04.1979","35","1.98m","80kg","SF","DEU","TuS Lichterfelde","2006-2007","426-fra","13"
"56","34","Kevin"," Johnson ","02.12.1979","34","2.02m","102kg","SF","USA","BCM Gravelines (FRA)","2006-2007","426-fra","13"
"57","8","Alex"," King ","20.02.1985","29","2.00m","100kg","SF","DEU","MTSV Schwabing","2006-2007","426-fra","13"
"58","22","Rudy"," Mbemba ","29.08.1987","26","1.78m","73kg","PG","SWE","Stockholm Human Rights (SWE)","2006-2007","426-fra","13"
"59","20","Jimmy"," McKinney ","23.08.1983","30","1.92m","90kg","PG","USA","Missouri Tigers (USA)","2006-2007","426-fra","13"
"60","9","George"," Reese ","08.05.1977","37","2.01m","99kg","PF","USA","Gipsar Stal Ostrow (POL)","2006-2007","426-fra","13"
"61","4","Jemeil"," Rich ","31.01.1975","39","1.76m","80kg","PG","USA","Fort Worth Flyers (USA)","2006-2007","426-fra","13"
"62","","Patrick"," Taubert ","27.01.1987","27","1.99m","92kg","SG","DEU","* bis 2/2007 im Verein","2006-2007","426-fra","13"
"63","7","Miroslav"," Todic ","06.01.1985","29","2.05m","94kg","PF","BIH","Olympia Ljubljana (SLO)","2006-2007","426-fra","13"
"64","19","Max"," Weber ","23.04.1985","29","2.00m","99kg","SF","DEU","GHP Bamberg","2006-2007","426-fra","13"
"65","14","Pavelas"," Cukinas ","11.04.1983","31","2.10m","103kg","C","LTU","Lietuvos Rytas Vilnius (LTU)","2006-2007","433-lud","2"
"66","21","Justin"," Davis ","22.04.1981","33","2.05m","105kg","C","USA","Apollon Patras (GRE)","2006-2007","433-lud","2"
"67","24","Jason"," Dourisseau ","07.12.1983","30","1.96m","89kg","PF","USA","Nebraska (NCAA)","2006-2007","433-lud","2"
"68","7","Michel"," Ferreira do Nascimento ","09.12.1978","35","2.08m","105kg","C","BRA","CEZ Nymburk (CZE)","2006-2007","433-lud","2"
"69","25","Je'Kel"," Foster ","22.07.1983","31","1.91m","87kg","PG","USA","Ohio State University (USA)","2006-2007","433-lud","2"
"70","8","Miljan"," Goljovic ","27.08.1971","42","2.03m","103kg","SF","SCG","MENT Vassilakis (GRE)","2006-2007","433-lud","2"
"71","5","Jerry"," Green ","12.02.1980","34","1.91m","90kg","PG","USA","Czarni Slupsk (POL)","2006-2007","433-lud","2"
"72","4","Nate"," Harris ","22.01.1983","31","2.01m","102kg","PF","USA","Utah State (NCAA)","2006-2007","433-lud","2"
"73","13","Sascha"," Kesselring ","21.03.1985","29","2.09m","115kg","C","DEU","BG Ludwigsburg","2006-2007","433-lud","2"
"74","12","Nils"," Mittmann ","10.04.1979","35","2.01m","92kg","PF","DEU","TSK Würzburg","2006-2007","433-lud","2"
"75","23","Gordon"," Scott ","26.12.1976","37","1.94m","92kg","SF","USA","SOBA Dragons Rhöndorf","2006-2007","433-lud","2"
"76","10","Achmadschah"," Zazai ","05.12.1986","27","1.75m","64kg","PG","DEU","SG Braunschweig","2006-2007","433-lud","2"
"77","11","Radisa"," Zdravkovic ","30.06.1976","38","1.94m","97kg","PG","DEU","MTV Stuttgart","2006-2007","433-lud","2"
"78","21","Ajmal"," Basit ","17.09.1978","35","2.06m","116kg","C","USA","Bayer Giants Leverkusen","2006-2007","430-old","9"
"79","24","Terry"," Black ","15.09.1978","35","1.95m","90kg","PG","USA","Telekom Baskets Bonn","2006-2007","430-old","9"
"80","40","D´Or"," Fischer ","12.10.1981","32","2.08m","115kg","C","USA","Roanoke Dazzle (USA)","2006-2007","430-old","9"
"81","15","Maximilian"," Gottwald ","14.11.1986","27","1.99m","85kg","SF","DEU","TSK Würzburg","2006-2007","430-old","9"
"82","20","Dan"," Grunfeld ","07.02.1984","30","1.96m","88kg","SG","USA","University of Stanford (USA)","2006-2007","430-old","9"
"83","11","Carl"," Krauser ","13.05.1981","33","1.88m","90kg","PG","USA","Pittsburgh (NCAA / USA)","2006-2007","430-old","9"
"84","9","Saulius"," Kuzminskas ","30.05.1982","32","2.11m","120kg","C","LTU","Olimpija Ljubljana (SLO)","2006-2007","430-old","9"
